org_name,count
3 WIC 334 and WIC 355,2
3 Welfare and Institutions Code Section 361.3,2
34 CFR Part 99,2
3XXXX,2
4 - SB 1173,2
4 - SBX1 11,2
"4 ACL 05-13 June 16, 2005 and re Joseph T. (2008) 163 Cal.App.4th 787",2
"4 Cal. Const., art. XXII",2
4 Existing Buildings Energy Efficiency Action Plan - Draft (http://www.energy.ca.gov/ab758/),2
4 Fostering Connections to Success and Increasing Adoptions Act of 2008 (P.L. 110-351) and the Preventing Sex Trafficking and Strengthening,2
4 HSC 1569.15,2
"4 Health and Safety Code Section 1522. See also ""Non-Exemptible Crimes",2
"4 Hub City Solid Waste Services, Inc. v. City of Compton (2010)186",2
4 PEN 11102.2,2
4 WIC 334 and WIC 355,2
4 WIC 360 and WIC 361,2
4) There is no registered opposition to the bill,2
4/1/94:AHED,2
4XXXX,2
"5 (Emphasis added), California Housing Finance Agency v",2
5 2014-2015 Budget Change Proposal CCLD-2,2
"5 HSC 1522, 1568.08, 1569.17, and 1596.871",2
5 Title 22 CCR 87408,2
5 WIC 360 and WIC 361,2
5 WIC 369,2
5 ibid,2
6 - SB 205,2
6 HSC 1569.76,2
6 Klistoff v. Superior Court (2007) 157 Cal.App.4th 469,2
"6 See 2013 IEPR, Chapter 2: Demand Response",2
6 WIC 369,2
6 WIC 369 (d),2
6) Opponents,2
6/16/94:AHED,2
68% of Latinos and African Americans,2
"7 ""Care Home Deaths Show System Failures,"" San Diego Union Tribune, Sept.7, 2013",2
7 People v. Honig (1996) 48 Cal.App.4th 289,2
"7 Superior Court of California, Los Angeles County. Local Rules Chapter 7",2
7 WIC 369 (d),2
8 ((HSC 1522 (d) and 1596.871 (a)(1))),2
8 See Thomson v. Call (1985)38 Cal.3d 633,2
9XXXX,2
A Medium article [Citation,2
A Medium article [Citation],2
A Parent's LGBTQ Identity Does Not Negatively Affect Their Child's Well-Being,2
A number of organizations,2
AB 1 X2,2
AB 1006,2
AB 102 (Wildman),2
"AB 1049, Page",2
AB 1057 - Richter,2
AB 1116,2
AB 1122-Corbett,2
AB 1132,2
AB 114 (Cohn) PageB,2
AB 1147 (Leno) PageB,2
AB 12 (Katz),2
AB 1207 - Mazzoni,2
AB 13 X2,2
AB 1309 (Goldberg),2
AB 1314 (Parra) PageB,2
AB 1338 - Chavez,2
AB 1419 (Aroner),2
AB 1424 (Thomson),2
"AB 1431, Page",2
AB 1458,2
AB 1458 (Wiggins),2
AB 1475 o Pringle,2
AB 1478 (Martinez),2
AB 1493,2
AB 1526 (Thompson),2
AB 153 (Nakano),2
AB 1537,2
AB 1551 (Sharon Runner) PageB Criminal Justice,2
AB 1555,2
AB 1589 (Simitian),2
AB 1600 (Keeley),2
AB 165 (Knox),2
AB 1675 (GOLDSMITH),2
AB 1703,2
"AB 1729, Page",2
AB 1764 (Maddox),2
AB 1785 (Brewer),2
AB 1794,2
AB 1800 (Kehoe),2
AB 189,2
AB 1899 (Havice),2
AB 190-Negrete McLeod,2
AB 1901 (Alby),2
AB 1937 would expand coastal access around Pacifica State Beach and,2
"AB 1965 (Lieu), Page",2
AB 1982 (Knight),2
"AB 1996, Page",2
AB 1999 (Dickerson),2
AB 1XX,2
AB 2 X1,2
AB 20 (Lieber),2
AB 2000 (Dutton),2
AB 202 (Knox),2
AB 2148,2
"AB 2185, Page",2
AB 2192,2
AB 2211 (Horton) PageB,2
AB 2238 (Dickerson),2
AB 2301,2
AB 2302 - Woods,2
AB 2329 (Goldsmith),2
AB 2333 (Nakano),2
AB 2354,2
AB 2363,2
AB 2377 (LONGVILLE),2
AB 2388 - La Suer,2
AB 244 (MORROW),2
AB 245 (Wyland),2
AB 2461 (Emmerson),2
AB 2547 (Lowenthal),2
AB 2573 (Runner),2
AB 2640 - Pringle,2
AB 2643 (Calderon),2
AB 2650 (Lowenthal),2
AB 270 (Bates),2
AB 273 (Scott),2
AB 274 (Koretz),2
AB 2758 - Briggs,2
AB 276 (Migden),2
AB 279 (Wayne),2
AB 2814 (Koretz) PageB,2
AB 286 (Dutra),2
AB 2860,2
AB 2864,2
"AB 2889 (Frommer), Page",2
AB 291 (Johnson),2
AB 295 (Corbett),2
AB 3 X1,2
AB 317,2
AB 319,2
AB 32 (Scott),2
AB 32 regulations,2
AB 33 X2,2
AB 3305 (Setencich),2
AB 3338 (McClintock),2
AB 34 X1,2
AB 36 X1,2
AB 369 (Dutra),2
AB 37,2
AB 3718,2
AB 374 (Matthews),2
AB 3767,2
AB 39 would further,2
AB 392 (MONTANEZ),2
AB 4 (Bates) PageB,2
AB 407 (Cedillo),2
AB 409 (Correa),2
AB 411 (Bordonaro),2
AB 415 would enhance,2
AB 43 X1,2
AB 434 (Parra),2
AB 434 helps improve accountability and makes sure that local governments,2
AB 454 (Sharon Runner),2
AB 491 (Scott),2
AB 522 (Diaz),2
AB 523 would only limit subsidies for corn ethanol production and would,2
"AB 525, Page",2
AB 557 (LOWENTHAL),2
AB 573 (Wolk),2
AB 60 X2,2
AB 601,2
"AB 618 (Cogdill), Page",2
AB 629 would amend the law to explicitly authorize the VCP to compensate human trafficking survivors for income or,2
AB 673 (Migden) PageB,2
AB 692 (DUTRA),2
AB 698 (Wesson),2
AB 794 removes the obstacle to meeting climate goals by ensuring that state funds are not being used,2
AB 796,2
AB 81 X2,2
AB 860 (Thomson),2
AB 88 (Sanchez) purports,2
"AB 88, Page",2
"AB 892, Page",2
AB 913 (Steinberg),2
"AB 923, which allows air districts to establish a $2 per vehicle per year",2
AB 942 --,2
AB 950,2
AB 958 (Scott),2
AB 98 (Harvey),2
AB1617,2
ACA 22 (Dutra),2
ACA 43 - ATTACHMENT 1,2
ACHD) in a,2
ACR 119,2
ACR 145,2
ACR 81 (Hollingsworth),2
AGB:RJG:do 8/25/10 Senate Floor Analyses,2
AGB:kc:d 5/10/12 Senate Floor Analyses,2
AJR 1 (Havice),2
AJR 56 (Frommer),2
AMA Guides,2
AMENDMENT REQUESTED,2
"ART concludes by stating, that if the legislature",2
"ASSEMBLY: 45-23,",2
"ASSESSMENT ACTS' MAJORITY PROTEST, PROTEST OVERRIDE, AND ELECTION TRIGGER PROCEDURES",2
"ASSMBLY FLOOR: 60-17,",2
Ab 866 - Diaz,2
According to 's office,2
According to the Depression and Bipolar,2
According to the United,2
According to the Western,2
Across the United,2
Act provides $220 billion to,2
Acute Psychiatric Hospital Provisions,2
Additional Concerns,2
"Additionally, United",2
Administration officials,2
Aligning the CTP to better,2
"All children can be exposed to lead, but DPH",2
All support and opposition is to previous versions of the bill,2
Amended,2
"American Federation of State, County and AB 1670",2
"American Federation of State, County and SB 1667 (Kuehl)",2
"American Lung Association of California, California League of Conservation Voters, Clean",2
Analysis Prepared by Ed Imai / TRANS. / (916) 319-2093,2
And more,2
Angeles and San Bernardino,2
Animal welfare organizations,2
Annual Assurances,2
Appeal,2
"Appeals, Ninth Circuit",2
Appendix A,2
Article 10.8. Opioid Medication For Minors,2
Article I Section 31 of the California Constitution. The mere,2
"As Amended April 7, 2008",2
As of April 10,2
"As of April 21, 1995",2
"As of April 21, 2006",2
"As of April 22, 2005",2
"As of April 23, 1998",2
As of April 4,2
"As of April 6, 2012",2
"As of April 8, 1996",2
"As of April 8, 1999",2
"As of April 8, 2004",2
As of April 9,2
"As of April 9, 2010",2
"As of August 1, 2002",2
"As of August 30, 1996",2
"As of August 30, 2014",2
"As of August 31, 2010",2
"As of August 4, 2000",2
"As of February 10, 2000",2
"As of January 6, 2012",2
"As of June 13, 2003",2
"As of June 16, 1995",2
"As of June 19, 1998",2
"As of June 2, 1995",2
As of June 20,2
"As of June 22, 2004",2
As of June 25,2
"As of June 27, 1996",2
"As of June 30, 1996",2
"As of June 4, 2004",2
"As of March 18, 1997",2
"As of March 23, 2012",2
"As of March 29, 2001",2
As of March 30,2
"As of March 30, 2006",2
"As of March 8, 2002",2
"As of May 12, 2003",2
"As of May 17, 2002",2
"As of May 17, 2007",2
"As of May 3, 1996",2
"As of May 31, 1996",2
"As of May 6, 2011",2
"As of May 8, 1997",2
"As of May 9, 2008",2
"As of May 9, 2014",2
As sensational,2
Assembly Insurance,2
Association of California Water Agencies (ACWA) Option B Cities: Atascadero,2
"At the time this analysis was prepared, there was no opposition",2
Attorney for Criminal Justice,2
"Attorneys' Association (""in principal"")",2
BACKGROUND: The Administration,2
"Barbara, San Diego, Sacramento, Orange, and Fresno",2
Base Closures,2
"Base Recovery Area Act, Govt. Code § 7105 et seq",2
Basketball Team,2
"Beach, Los Angeles, Morgan Hill, Mt. Diablo, Oakland, Riverside, San Diego, San Jacinto, Tracy, and Ukiah",2
Bill No.: AJR,2
"Bily v. Arthur Young & Co., 3 Cal. 4th 370 (1992)",2
Board appreciates,2
Board took an,2
Both of these are hindered by the aggressive pursuit of child,2
Brigadier General,2
British Columbia,2
Bureau of Environmental Health Management,2
"But, with a current homeless population of 151,278 (nearly one-fifth of the total homeless population in the United)",2
CA|PA|PG|PC,2
"CDE, February",2
CO-SPONSOR,2
COMMENTS The Ventura County Transportation Commission,2
COMPARISON OF SB 936 AND SB 1073,2
CONFERENCE COMMITTEE VOTE:,2
CP:cm/ctl/cm 5/19/98 Senate Floor Analyses,2
CP:jk/ctl 1/26/98 Senate Floor Analyses,2
CP:jk/sl 8/1/98 Senate Floor Analyses,2
Cal.App.4th 1114,2
Cal.App.4th 585,2
