org_name,count,in_crosswalk,match_type,canonical_name
American Heart Association,1011,yes,exact,American Heart Association
Faculty Association of California Community Colleges,1011,yes,exact,Association of California Community Colleges
San Francisco Unified School District,1011,yes,exact,SAN FRANCISCO UNIFIED SCHOOL DISTRICT
"American Academy of Pediatrics, California",1004,yes,normalized,American Academy of Pediatrics
California Common Cause,999,yes,exact,Common Cause
California Transit Association,998,yes,exact,CALIFORNIA TRANSIT ASSOCIATION
TechNet,997,yes,exact,Technet Technology Network
Community College League of California,996,yes,exact,Community College League of California
Gray Panthers,994,yes,exact,GRAY PANTHERS
Associated General Contractors,993,yes,exact,Associated General Contractors
Audubon California,991,yes,exact,National Audubon Society
California Association of County Veterans Service Officers,980,yes,exact,Association of County Veterans Service Officers
Alliance for Children's Rights,978,yes,exact,Alliance for Children's Rights
California Peace Officers Association,975,yes,exact,California Peace Officers Association
California Coastkeeper Alliance,974,yes,exact,CA Coastkeeper Alliance
American Insurance Association,970,yes,exact,American Insurance Association
Heal the Bay,964,yes,exact,Heal the Bay
California School Nurses Organization,962,yes,exact,CALIFORNIA SCHOOL NURSES ORGANIZATION
Committee on Moral Concerns,959,yes,exact,COMMITTEE ON MORAL CONCERNS
Numerous individuals,956,no,,
California Forestry Association,954,yes,exact,CALIFORNIA FORESTRY ASSOCIATION
Santa Ana Police Officers Association,953,yes,exact,Police Officers Association
American Academy of Pediatrics,951,yes,exact,American Academy of Pediatrics
Taxpayers for Improving Public Safety,947,yes,exact,TAXPAYERS FOR IMPROVING PUBLIC SAFETY
Los Angeles County District Attorney,946,yes,exact,District Attorneys
California Credit Union League,944,yes,exact,National Credit Union League
City of Lakewood,938,yes,exact,STATE OF CALIFORNIA
Courage Campaign,935,yes,exact,COURAGE CAMPAIGN
California Environmental Voters,932,yes,exact,California Environmental Voters
Santa Clara Valley Water District,931,yes,exact,SANTA CLARA VALLEY WATER DISTRICT
The Utility Reform Network,923,yes,exact,TURN - The Utility Reform Network
California Food Policy Advocates,922,yes,exact,CALIFORNIA FOOD POLICY ADVOCATES
American Cancer Society,918,yes,exact,American Cancer Society
Clean Power Campaign,913,yes,exact,CLEAN POWER CAMPAIGN
Fire Districts Association of California,910,yes,exact,FIRE DISTRICTS ASSOCIATION OF CALIFORNIA
California Department of Insurance,907,yes,exact,California Insurance Commissioner / Department of Insurance
Greenlining Institute,907,yes,exact,GREENLINING INSTITUTE
Health Net,905,yes,exact,HEALTH NET
Board of Equalization,902,yes,exact,Board of Equalization (BOE)
Conference of California Bar Associations,895,yes,exact,Bar Association
None registered,894,no,,
Franchise Tax Board,893,yes,exact,Franchise Tax Board
Professional Engineers in California Government,889,yes,exact,PROFESSIONAL ENGINEERS IN CALIFORNIA GOVERNMENT
Metropolitan Transportation Commission,888,yes,exact,Metropolitan Transportation Commission
California Coalition for Youth,887,yes,exact,CALIFORNIA COALITION FOR YOUTH
Family Winemakers of California,886,yes,exact,FAMILY WINEMAKERS OF CALIFORNIA
Engineers and Scientists of California,885,yes,exact,ENGINEERS AND SCIENTISTS OF CALIFORNIA
San Diego County Water Authority,883,yes,exact,San Diego County Water Authority
Peace Officers Research Association of California (PORAC),882,yes,normalized,Peace Officers' Research Association of California (PORAC)
Associated Builders and Contractors of California,876,yes,exact,Associated Builders and Contractors
Orange County Transportation Authority,876,yes,exact,ORANGE COUNTY TRANSPORTATION AUTHORITY
Coalition of California Utility Employees,871,yes,exact,COALITION OF CALIFORNIA UTILITY EMPLOYEES
California Native Plant Society,864,yes,exact,CALIFORNIA NATIVE PLANT SOCIETY
"Protection and Advocacy, Inc",864,yes,normalized,Protection and Advocacy
Pacific Gas and Electric Company,856,yes,exact,Pacific Gas & Electric Company (PG&E)
California Landscape Contractors Association,851,yes,exact,California Landscape Contractors Association
Los Angeles District Attorney's Office,848,yes,exact,District Attorneys
California Association of Marriage and Family Therapists,846,yes,exact,California Association of Marriage and Family Therapists
Steinberg Institute,846,yes,exact,STEINBERG INSTITUTE
California Citrus Mutual,844,yes,exact,California Citrus Manual
Endangered Habitats League,841,yes,exact,ENDANGERED HABITATS LEAGUE
"California Probation, Parole and Correctional Association",840,yes,normalized,CALIFORNIA PROBATION PAROLE AND CORRECTIONAL ASSOCIATION
California State Association of Counties (CSAC),840,yes,exact,California State Association of Counties
California Business Roundtable,839,yes,exact,California Business Roundtable
East Bay Community Law Center,839,yes,exact,EAST BAY COMMUNITY LAW CENTER
Asian Law Alliance,838,yes,exact,Asian Americans Advancing Justice
California Association of Professional Scientists,834,yes,exact,CALIFORNIA ASSOCIATION OF PROFESSIONAL SCIENTISTS
San Francisco Public Defender,834,yes,exact,SAN FRANCISCO PUBLIC DEFENDER
California Council for Environmental and Economic Balance,830,yes,exact,California Council for the Environment and Economic Balance
California Alliance for Consumer Protection,818,yes,exact,California Alliance for Consumer Protection
Electronic Frontier Foundation,818,yes,exact,ELECTRONIC FRONTIER FOUNDATION
California Chapter of the American College of Emergency Physicians,817,yes,exact,American College of Emergency Physicians
Los Angeles County,817,yes,exact,STATE OF CALIFORNIA
California Chiropractic Association,815,yes,exact,CALIFORNIA CHIROPRACTIC ASSOCIATION
California Independent Public Employees Legislative Council,814,yes,exact,California Independent Public Employees Legislative Council
Union of American Physicians and Dentists,814,yes,exact,"American Federation of State, County and Municipal Employees (AFSCME)"
State Board of Equalization,812,yes,exact,STATE BOARD OF EQUALIZATION
California Association for Health Services at Home,807,yes,exact,CALIFORNIA ASSOCIATION FOR HEALTH SERVICES AT HOME
Coalition of California Welfare Rights Organizations,798,yes,exact,COALITION OF CALIFORNIA WELFARE RIGHTS ORGANIZATIONS
Metropolitan Water District of Southern California,798,yes,exact,METROPOLITAN WATER DISTRICT OF SOUTHERN CALIFORNIA
Bet Tzedek Legal Services,795,yes,exact,Bet Tzedek Legal Services
Surfrider Foundation,793,yes,exact,SURFRIDER FOUNDATION
John Burton Advocates for Youth,792,yes,exact,JOHN BURTON ADVOCATES FOR YOUTH
American Association of University Women,786,yes,exact,American Association of University Women
California Narcotic Officers' Association,786,yes,exact,CALIFORNIA NARCOTIC OFFICERS' ASSOCIATION
Little Hoover Commission,785,yes,exact,Little Hoover Commission
CALPIRG,784,yes,exact,Public Interest Research Group
Kern County Superintendent of Schools,781,yes,exact,KERN COUNTY SUPERINTENDENT OF SCHOOLS
Engineering Contractors' Association,777,yes,normalized,ENGINEERING CONTRACTORS ASSOCIATION
San Bernardino County Sheriff's Department,776,yes,exact,Sheriff
American Electronics Association,774,yes,exact,AeA (American Electronics Association)
California Bicycle Coalition,769,yes,exact,California Bicycle Coalition
Urban Counties of California,769,yes,exact,URBAN COUNTIES OF CALIFORNIA
California Retired Teachers Association,765,yes,exact,CALIFORNIA RETIRED TEACHERS ASSOCIATION
Long Beach Police Officers Association,763,yes,exact,Police Officers Association
California Mental Health Directors Association,761,yes,exact,CALIFORNIA MENTAL HEALTH DIRECTORS ASSOCIATION
South Coast Air Quality Management District,761,yes,exact,SOUTH COAST AIR QUALITY MANAGEMENT DISTRICT
