org_name,count,in_crosswalk,match_type,canonical_name
County Sheriff's Office of Sacramento,2,no,,
County Sheriff's Office of San Diego,2,no,,
County Sheriff's Office of Shasta,2,no,,
County Sheriff's Office of Tuolumne,2,no,,
County Sheriff's Office of Ventura,2,no,,
County Sheriff's Office of Yolo,2,no,,
"County Sheriff's of Riverside, Siskiyou, Shasta, Mendocino, Santa Barbara, Humboldt, and Kern Counties",2,no,,
County Sheriffs from the Central Valley,2,yes,exact,County Sheriffs from the Central Valley
County Superintendents of School,2,yes,exact,County Superintendents of Schools
County Superintendents of Schools EdVoice,2,no,,
County Supervisor Ray Nutting,2,no,,
County Supervisor Walt Shultz,2,no,,
County Treasurers and Tax Collectors,2,yes,exact,County Treasurers and Tax Collectors
County Tulare County Farm Bureau,2,yes,exact,Tulare County Farm Bureau
"County Waste Management Authority, California",2,yes,exact,County Waste Management Authority
County Water Authority,2,yes,exact,County Water Authority
County Welfare Director Association,2,yes,exact,County Welfare Directors Association of California (CWDA)
County Welfare Director's Association (CWDA),2,yes,normalized,County Welfare Directors Association of California (CWDA)
County Welfare Directors Assn.,2,yes,normalized,County Welfare Directors Association of California (CWDA)
County Welfare Directors Assoc. Committee on Moral Concerns,2,yes,exact,County Welfare Directors Association of California (CWDA)
County Welfare Directors Associadtion of California,2,yes,exact,County Welfare Directors Association of California (CWDA)
"County Welfare Directors Association (CWDA California State Association of Counties (CSAC) American Federation of State, County, and Municipal Employees (AFSCME) Butte County Department of Employment and Social Services Humboldt County Department of Health and Human Services Children's Advocacy Institute National Association of Social Workers (NASW) National Center for Youth Law Riverside County Department of Public Social Services San Luis Obispo County Department of Social Services Tehama County Department of Social Services)",2,no,,
County Welfare Directors Association and Service,2,yes,exact,County Welfare Directors Association of California (CWDA)
County Welfare Directors Association of,2,yes,exact,County Welfare Directors Association of California (CWDA)
County Welfare Directors Association of California writes,2,no,,
"County Welfare Directors Association of California, County of",2,yes,exact,County Welfare Directors Association of California (CWDA)
"County Welfare Directors Association of California, The Junior League of Orange",2,no,,
County Welfare Directors' Association of CA,2,yes,exact,County Welfare Directors Association of California (CWDA)
County and Municipal Employees AFL-CIO states,2,no,,
County and Municipal Employees AMVETS,2,no,,
County and Municipal Employees California Association for Health,2,no,,
County and Municipal Employees California School Employees Association,2,no,,
County and Municipal Employees California Society for Clinical Social Work,2,no,,
County and Municipal Employees California Society for Clinical Social Work National Association of Social Workers,2,no,,
County and Municipal Employees National Association of Social Workers,2,no,,
County and Municipal Employees Service Employees International Union California Federation of Teachers California Labor Federation,2,no,,
County and Municipal Employees Union of Associated Physicians and Dentists,2,no,,
County behavioral Health Directors Association,2,yes,exact,Behavioral Health Directors Association
County for Climate Action,2,yes,exact,County for Climate Action
County of APLA Health,2,yes,exact,APLA Health & Wellness
County of Acacia Mechanical Electrical Inc,2,yes,exact,Acacia Mechanical Electrical Inc
"County of Alameda Board of Supervisors, District 4",2,yes,exact,"County of Alameda Board of Supervisors, District 4"
County of Alameda County Transportation Commission,2,yes,exact,STATE OF CALIFORNIA
County of Alameda Redevelopment Agency,2,yes,exact,STATE OF CALIFORNIA
"County of Alameda, 5th",2,yes,exact,"County of Alameda, 5th"
"County of Alameda, 5th District",2,yes,exact,"County of Alameda, 5th"
County of Alpine Health and Human Services,2,yes,exact,STATE OF CALIFORNIA
County of Amador Board of Supervisors,2,yes,exact,STATE OF CALIFORNIA
"County of Amador, City of Ione",2,no,,
County of American Federation of State,2,yes,exact,County of American Federation of State
County of Anthony D. Gonsalves,2,yes,exact,County of Anthony D. Gonsalves
County of Associaiton of California School Administrators,2,yes,exact,Association of California School Administrators
County of Associated General Contractors-San Diego Chapter,2,yes,exact,Associated General Contractors
County of Auburn,2,yes,exact,STATE OF CALIFORNIA
County of Bay Area Air Quality Management District,2,yes,exact,BAY AREA AIR QUALITY MANAGEMENT DISTRICT
County of Bay Area Council,2,yes,exact,BAY AREA COUNCIL
County of Bellflower City Councilmember Ray Smith,2,no,,
County of Blue Lake,2,yes,exact,STATE OF CALIFORNIA
County of Brisbane,2,yes,exact,STATE OF CALIFORNIA
County of Building Industry Association of Superior California,2,yes,exact,Building Industry Association of Superior
County of Butte County Behavioral Health Board,2,yes,exact,STATE OF CALIFORNIA
"County of Butte, Clerk-Recorder-Registrar of Voters",2,yes,exact,STATE OF CALIFORNIA
County of CA Fire Chiefs Association,2,yes,exact,California Fire Chiefs Association
County of CA Firefighters,2,yes,exact,International Association of Fire Fighters
County of CA In-home Supportive Services Consumer Alliance,2,yes,exact,California In-home Supportive Services Consumer Alliance
County of Calaveras Santa Barbara,2,no,,
County of California Association of Clerks,2,yes,exact,California Association of Clerks
County of California Association of Clerks & Election Officials,2,yes,exact,CALIFORNIA ASSOCIATION OF CLERKS AND ELECTION OFFICIALS
County of California Association of Realtors,2,yes,exact,California Association of Realtors
County of California Association of Social Rehabilitation Agencies,2,yes,exact,California Association of Social Rehabilitation Agencies
County of California Association of Veteran Services Agencies,2,yes,exact,California Association of Veteran Services Agencies
County of California Building Industry Association,2,yes,exact,CALIFORNIA BUILDING INDUSTRY ASSOCIATION
County of California Business Roundtable,2,yes,exact,California Business Roundtable
County of California Catholic Conference,2,yes,exact,CALIFORNIA CATHOLIC CONFERENCE
County of California Chamber of Commerce,2,no,,
County of California Church Impact,2,yes,exact,CALIFORNIA CHURCH IMPACT
County of California Coalition for Local Control,2,yes,exact,California Coalition for Local Control
County of California Coalition for Mental Health,2,yes,exact,CALIFORNIA COALITION FOR MENTAL HEALTH
County of California Commission on Aging,2,yes,exact,California Commission on Aging
County of California Correctional Peace Officers Association,2,yes,exact,California Correctional Peace Officers Association
County of California Council of Community Mental Health Agencies,2,yes,exact,California Council of Community Mental Health Agencies
County of California Custom Sound & Video,2,no,,
County of California Democratic Council,2,yes,exact,CALIFORNIA DEMOCRATIC PARTY
County of California Fire Chiefs Association,2,yes,exact,California Fire Chiefs Association
County of California Healthcare Association,2,yes,exact,California Healthcare Association
County of California Independent Public Employees Legislative Council,2,yes,exact,California Independent Public Employees Legislative Council
County of California Mental Health Planning Council,2,yes,exact,CALIFORNIA MENTAL HEALTH PLANNING COUNCIL
County of California Network of Mental Health Clients,2,yes,exact,California Network of Mental Health Clients
County of California Nurses Association,2,yes,exact,California Nurses Association
County of California Probation,2,no,,
County of California Retailers Association,2,yes,exact,California Retailers Association
County of California School Nurses Organization,2,yes,exact,CALIFORNIA SCHOOL NURSES ORGANIZATION
County of California Taxpayers' Association,2,no,,
County of Californians for Balanced Communities,2,yes,exact,Californians for Balanced Communities
County of Camarillo,2,yes,exact,STATE OF CALIFORNIA
County of Carmichael Chamber of Commerce,2,no,,
County of Cement Masons' Beach Cities Local 523,2,yes,exact,Operative Plasterers and Cement Masons' Beach Cities
County of Cement Masons' Beach Cities Local 523 Operative,2,yes,exact,Operative Plasterers and Cement Masons' Beach Cities
County of Century Communications,2,yes,exact,Century Communications
County of Change Begins With Me,2,yes,exact,Change Begins With Me
County of Chevron Products Company,2,yes,exact,Chevron Products Company
County of Children's Hope Foster Family Agency,2,yes,exact,Children's Hope Foster Family Agency
County of Children's Law Center of California,2,yes,exact,CHILDREN'S LAW CENTER OF CALIFORNIA
County of Cities Board on Homelessness,2,yes,exact,County of Cities Board on Homelessness
County of Cities of Adelanto,2,no,,
County of Citrus Heights Chamber of Commerce,2,no,,
County of City of Albany,2,no,,
County of City of Artesia,2,no,,
County of City of Azusa,2,no,,
County of City of Beaumont,2,no,,
County of City of Bellflower,2,no,,
County of City of Building Owners,2,no,,
County of City of Burbank,2,no,,
County of City of California Chamber of Commerce,2,no,,
County of City of California Grocers Association,2,no,,
County of City of Cerritos,2,no,,
County of City of Concord,2,no,,
County of City of Contra Costa,2,no,,
County of City of Costa Mesa,2,no,,
County of City of Del Norte,2,no,,
County of City of Diamond Bar,2,no,,
County of City of Fairfield,2,no,,
County of City of Fountain Valley,2,no,,
County of City of Fullerton,2,no,,
County of City of Glendale,2,no,,
County of City of Institute of Scrap Recycling Industries (ISRI),2,no,,
County of City of La Habra,2,no,,
County of City of La Mirada,2,no,,
County of City of Managers Association of California,2,no,,
County of City of Manteca,2,no,,
County of City of Monrovia,2,no,,
County of City of Napa,2,no,,
County of City of National City,2,no,,
County of City of Novato,2,no,,
County of City of Oakdale,2,no,,
County of City of Pasadena,2,no,,
County of City of Pittsburg,2,no,,
County of City of Redlands,2,no,,
County of City of San Jose,2,no,,
County of City of San Leandro,2,no,,
County of City of San Pablo,2,no,,
County of City of Santa Barbara,2,no,,
County of City of Santa Cruz,2,no,,
County of City of Santa Fe Springs,2,no,,
County of City of Selma,2,no,,
County of City of Stanislaus,2,no,,
County of City of The Construction Industry's Crime Prevention Program of Southern California,2,no,,
County of City of Union City,2,no,,
County of City of Visalia,2,no,,
County of City of Vista,2,no,,
County of City of Walnut Creek,2,no,,
County of Codan Medlon Inc,2,yes,exact,Codan Medlon Inc
County of College OPTIONS,2,yes,exact,College Options
County of College of the Desert,2,yes,exact,College of the Desert
County of Coloma,2,yes,exact,County of Coloma
County of Commerce Association (VICA),2,yes,exact,County of Commerce Association (VICA)
County of Contra Costa Fresno,2,no,,
County of Contra Costa Moveon,2,yes,exact,County of Contra Costa Moveon
County of Coronado,2,yes,exact,STATE OF CALIFORNIA
County of Correctional Association,2,yes,exact,Correctional Association
County of Costa Mesa,2,yes,exact,STATE OF CALIFORNIA
County of Council,2,yes,exact,County of Council
County of Counties of Amador,2,yes,exact,County of Counties of Amador
County of County,2,no,,
County of County Board of Supervisors: Butte,2,yes,exact,STATE OF CALIFORNIA
County of County of San Bernardino,2,no,,
County of County of San Mateo,2,no,,
County of County of Yolo,2,no,,
County of Crescent City,2,yes,exact,Crescent City
County of Crisara Creative Therapy,2,yes,exact,Crisara Creative Therapy
County of Cruz,2,yes,exact,STATE OF CALIFORNIA
County of Daly City,2,yes,exact,STATE OF CALIFORNIA
County of De Norte County Board of Supervisors,2,yes,exact,County of De Norte County Board of Supervisors
County of Del Norte Department of Health and Human Services,2,yes,exact,STATE OF CALIFORNIA
County of Del Norte Sheriff's Office,2,yes,exact,Sheriff
County of Department of Children,2,yes,exact,County of L.A. - Dept. of Children
County of Diego,2,yes,exact,STATE OF CALIFORNIA
County of District attorney's office in Los Angeles,2,no,,
County of Drake-Bluestein,2,yes,exact,County of Drake-Bluestein
County of Dublin Chamber of Commerce,2,no,,
County of Dust-Tex Service Inc,2,yes,exact,Dust-Tex Service
County of El Cajon,2,yes,exact,STATE OF CALIFORNIA
County of El Dorado CA Independent Public Employees Legislative Council County of Del Norte,2,no,,
County of El Dorado County Chamber of Commerce,2,no,,
County of El Dorado Hills Chamber of Commerce,2,no,,
County of Election Officials,2,yes,exact,County of Election Officials
County of Electronics Group,2,yes,exact,County of Electronics Group
County of Elk Grove Chamber of Commerce,2,no,,
County of Elk Grove Spring Homes Inc,2,yes,exact,Elk Grove Spring Homes Inc
County of Elk Grove Water Services,2,yes,exact,Elk Grove Water Services
County of Elliot,2,yes,exact,County of Elliot
County of Episcopal Church in the Diocese of Los Angeles,2,yes,exact,The Episcopal Church in the Diocese of Los Angeles
County of Family Services,2,yes,exact,County of Family Services
County of Feminists in Action Los Angeles,2,yes,exact,Feminists in Action
County of Feminists in Action Los Angeles (Indivisible CA-34 Women's),2,yes,exact,Indivisible
County of Fireplace Manufacturers Inc,2,yes,exact,Fireplace Manufacturers Incorporated
County of Fitness,2,no,,
County of Fort Bragg,2,yes,exact,STATE OF CALIFORNIA
County of Fresno Auditor-Controller/Treasurer-Tax Collector,2,yes,exact,STATE OF CALIFORNIA
"County of Fresno Board of Supervisors, District 3",2,yes,exact,STATE OF CALIFORNIA
County of Fresno Health Services Agency,2,yes,exact,STATE OF CALIFORNIA
County of Fresno Veterans Services Office,2,yes,exact,STATE OF CALIFORNIA
"County of Fresno, District 4 Supervisor/SJVUAPCD board member, Judith G. Case",2,no,,
County of Galt District Chamber of Commerce,2,yes,exact,UNITED STATES CHAMBER OF COMMERCE
"County of Glenn, Animal Control Office",2,yes,exact,STATE OF CALIFORNIA
"County of Glenn, Elections Department",2,yes,exact,STATE OF CALIFORNIA
County of Gray Panthers of Sacramento,2,yes,exact,GRAY PANTHERS
County of Greater Concord Chamber of Commerce,2,no,,
County of Greater Riverside Chambers of Commerce,2,yes,exact,UNITED STATES CHAMBER OF COMMERCE
County of Greater Stockton Chamber of Commerce,2,no,,
County of Gridley,2,yes,exact,STATE OF CALIFORNIA
County of Grover Beach,2,yes,exact,County of Grover Beach
County of Handgun Control,2,yes,exact,Handgun Control
County of Humboldt County Administrative Office,2,yes,exact,STATE OF CALIFORNIA
County of Humboldt Health and Human Services Department,2,yes,exact,STATE OF CALIFORNIA
County of Humboldt Sheriff's Department,2,yes,exact,Sheriff
"County of Humboldt, County Assessor",2,yes,exact,STATE OF CALIFORNIA
"County of Humboldt, Supervisor Rex Bohn, District 1",2,no,,
County of Humboldt-District 1,2,yes,exact,STATE OF CALIFORNIA
County of Humboldt. California State Association of Counties,2,no,,
County of ITT Industries,2,yes,exact,ITT Industries
County of Imperial Public Health Department,2,yes,exact,California County Public Health Departments
County of Inc. CPA,2,yes,exact,County of Inc. CPA
County of Indivisible 52,2,no,,
County of Indivisible CA 29,2,no,,
County of Indivisible CA 34 Women,2,no,,
County of Indivisible CA 37,2,no,,
County of Indivisible CA Statestrong,2,no,,
County of Indivisible CA-29,2,no,,
County of Indivisible CA-37,2,no,,
County of Indivisible Los Gatos,2,no,,
County of Indivisible Peninsula,2,no,,
County of Indivisible of Sherman Oaks,2,no,,
County of Inyo Health and Human Services Department,2,yes,exact,STATE OF CALIFORNIA
County of Irvine Chamber of Commerce,2,no,,
County of Isleton,2,yes,exact,STATE OF CALIFORNIA
County of Joe A. Gonsalves,2,yes,exact,Joe A. Gonsalves & Son
County of Justice in Aging,2,yes,exact,JUSTICE IN AGING
County of Kern County Superintendent of Schools,2,yes,exact,KERN COUNTY SUPERINTENDENT OF SCHOOLS
County of Kern and Kern County Water Agency,2,no,,
"County of Kern, Sheriffs Department",2,yes,normalized,Sheriff
County of Kings Board of Supervisors,2,yes,exact,STATE OF CALIFORNIA
County of Kings Office of the Sheriff,2,yes,exact,Sheriff
County of Knowledge,2,no,,
County of L.A. - Dept. of Children and Family Services,2,yes,exact,STATE OF CALIFORNIA
County of La Canada Flintridge,2,yes,exact,STATE OF CALIFORNIA
County of Laguna Beach,2,yes,exact,STATE OF CALIFORNIA
County of Lake Department of Health Services,2,yes,exact,STATE OF CALIFORNIA
"County of Lake, Administrative Office - Lakeport, Calif",2,yes,normalized,STATE OF CALIFORNIA
"County of Lake, Board of Supervisors",2,yes,normalized,STATE OF CALIFORNIA
County of Lakeport,2,yes,exact,STATE OF CALIFORNIA
County of Lassen County Health and Social Services Department,2,yes,exact,STATE OF CALIFORNIA
County of League of Women Voters of California,2,no,,
County of Lewis,2,yes,exact,County of Lewis
County of Lieber & Stumph,2,yes,exact,"Elliott, Lewis, Lieber & Stumpf, Inc"
County of Lomita,2,yes,exact,STATE OF CALIFORNIA
County of Los Altos,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles (LAC) is the sponsor of this bill and,2,no,,
County of Los Angeles Association for Los Angeles Deputy Sheriffs,2,no,,
County of Los Angeles Board Of Supervisors,2,yes,exact,STATE OF CALIFORNIA
"County of Los Angeles Board of Supervisors, Downtown Women's Center, Hathaway-Sycamores Child and Family Services, Los Angeles Homeless Service Authority , Mental Health of America Los Angeles",2,no,,
County of Los Angeles Citizens Redistricting Commission,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Countywide Criminal Justice Coordination Committee,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Department of Auditor-Controller,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Department of Consumer and Business Affairs,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Department of Health,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Department of Public Social Services,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Dept. of Children & Family Services,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Dept. of Children and Family Services,2,yes,exact,STATE OF CALIFORNIA
County of Los Angeles Domestic,2,yes,exact,County of Los Angeles Domestic
County of Los Angeles Human Relations commission,2,yes,exact,City of Los Angeles Human Relations Commission
County of Los Angeles Office of the Assessor,2,yes,exact,Office of the Assessor
"County of Los Angeles Sheriff Department, Sheriff Leroy D. Baca",2,yes,exact,Sheriff
County of Los Angeles Sheriff Leroy Baca,2,yes,exact,Sheriff
County of Los Angeles Sheriff's Dept,2,yes,exact,Sheriff
County of Los Angeles Sherriff's Department,2,yes,exact,Sheriff
County of Los Angeles and San Bernardino,2,yes,exact,County of Los Angeles and San Bernardino
"County of Los Angeles, Department of Children and Family",2,yes,normalized,STATE OF CALIFORNIA
"County of Los Angeles, Department of Health Services",2,yes,normalized,Department of Health Services - County of Los Angeles
"County of Los Angeles, Inter-Agency Council on Child Abuse and Neglect",2,yes,normalized,Inter-Agency Council on Child Abuse and Neglect
"County of Los Angeles, Office of the District Attorney",2,yes,exact,District Attorneys
"County of Los Angeles, Public Health",2,yes,normalized,California County Public Health Departments
"County of Los Angeles, Supervisor Kuehl",2,no,,
"County of Los Angeles, Supervisor Ridley-Thomas",2,no,,
"County of Los Angeles, Supervisor Solis",2,yes,exact,Los Angeles County Supervisor
County of Los Angles,2,yes,exact,STATE OF CALIFORNIA
County of Luis Obispo,2,yes,exact,County of Luis Obispo
County of Madera County Department of Public Health,2,yes,exact,California County Public Health Departments
"County of Madera, Revenue Services Division",2,yes,exact,STATE OF CALIFORNIA
County of Manhattan Beach Firefighters' Association,2,yes,exact,International Association of Fire Fighters
County of Manhattan Beach Police Officers' Association,2,yes,exact,Police Officers Association
"County of Marin Board of Supervisors, 4th District",2,yes,exact,STATE OF CALIFORNIA
County of Marin Sheriff's Office,2,yes,exact,Sheriff
"County of Marin, Supervisor Kathrin Sears",2,no,,
County of Mariposa Probation Department,2,yes,exact,California County Probation Departments
County of Mariposa SCities of: Pacific Grove,2,no,,
"County of Mariposa, Treasurer, Tax Collector, County Clerk",2,yes,exact,STATE OF CALIFORNIA
County of Mendocino Clerk Recorder,2,yes,exact,STATE OF CALIFORNIA
County of Mendocino County,2,yes,exact,STATE OF CALIFORNIA
County of Mendocino S,2,yes,exact,STATE OF CALIFORNIA
"County of Mendocino, Board of Supervisors",2,yes,normalized,STATE OF CALIFORNIA
"County of Mendocino, Department of Public Works",2,yes,exact,STATE OF CALIFORNIA
"County of Mendocino, Office of the Assessor",2,yes,exact,STATE OF CALIFORNIA
County of Mental Health Division of Contra Costa County Health Services,2,yes,exact,County of Mental Health Division of Contra Costa County Health
County of Merced Office of the Sheriff-Coroner,2,yes,exact,Sheriff
"County of Merced, Auditor-Controller",2,yes,exact,STATE OF CALIFORNIA
County of Millbrae,2,yes,exact,STATE OF CALIFORNIA
"County of Millwork, Inc",2,yes,exact,"County of Millwork, Inc"
County of Milpitas,2,yes,exact,STATE OF CALIFORNIA
"County of Mono, California",2,yes,exact,STATE OF CALIFORNIA
County of Montclair Chamber of Commerce,2,no,,
County of Monterey SPCA,2,yes,exact,SPCA OF MONTEREY COUNTY
County of Monterey Water Resources Agency,2,yes,exact,STATE OF CALIFORNIA
County of Municipal Employees,2,yes,exact,County and Municipal Employees
County of Napa Sacramento,2,yes,exact,STATE OF CALIFORNIA
County of Napa Sheriff's Office,2,yes,exact,Sheriff
County of Napa and supported by other regional entities,2,no,,
"County of Napa, Alfred Pedroza District 4 Supervisor",2,no,,
County of National Alliance for the Mentally Ill,2,yes,exact,NATIONAL ALLIANCE ON MENTAL ILLNESS
County of National Association of Industrial,2,yes,exact,County of National Association of Industrial
County of National Tax Limitation Committee,2,no,,
County of Newport Beach Chamber of Commerce,2,no,,
County of Office Properties - California State Council,2,yes,exact,County of Office Properties - California State Council
County of Office of the Sheriff,2,yes,exact,County of Office of the Sheriff
County of Older Womens League of California,2,no,,
County of Ontario Chamber of Commerce,2,no,,
County of Orange - Human,2,yes,exact,County of Orange - Human
County of Orange County Coalition for Mental Health,2,yes,exact,County of Orange County Coalition for Mental Health
County of Orange County Multi-Ethnic Behavioral Health Service Task Force,2,yes,exact,County of Orange County Multi-Ethnic Behavioral Health Service Task
County of Orange Office of Sheriff-Coroner,2,yes,exact,Sheriff
County of Orange Sheriff-Coroner,2,yes,exact,Sheriff
County of Orange Sheriff-Coroner Department,2,yes,exact,Sheriff
"County of Orange Supervisor, 2nd District",2,yes,exact,"County of Orange Supervisor, 2nd District"
"County of Orange, County Executive Office/Risk Management",2,yes,exact,STATE OF CALIFORNIA
"County of Orange, Public Facilities & Resources Department",2,yes,exact,Orange County Department of Public Resources and Facilities
"County of Orange, Through its Office of the District Attorney/public Administrator",2,yes,exact,District Attorneys
"County of Orange, Veterans Advisory council",2,yes,normalized,COUNTY OF ORANGE VETERANS ADVISORY COUNCIL
County of Pacifica,2,yes,exact,STATE OF CALIFORNIA
County of Parole,2,yes,exact,County of Parole
County of Petaluma,2,yes,exact,STATE OF CALIFORNIA
County of Pittsburg Chamber of Commerce,2,no,,
County of Placer County,2,yes,exact,STATE OF CALIFORNIA
"County of Placer, Office of the Assessor",2,yes,exact,STATE OF CALIFORNIA
County of Police Department,2,yes,exact,POLICE DEPARTMENT
County of Ponoma Valley,2,yes,exact,County of Ponoma Valley
County of Rancho Cordova Chamber of Commerce,2,no,,
County of Rancho Cordova Incorporation Committee,2,yes,exact,Rancho Cordova Incorporation Committee
County of Rancho Mirage,2,yes,exact,STATE OF CALIFORNIA
County of Red Bluff,2,yes,exact,STATE OF CALIFORNIA
County of Regional Center of Orange County,2,yes,exact,REGIONAL CENTER OF ORANGE COUNTY
County of Riverside American Federation of State,2,yes,exact,County of Riverside American Federation of State
County of Riverside Community Health Agency,2,yes,exact,Community Health Agency for Riverside County
County of Riverside Department of Environmental Health,2,yes,exact,Department of Environmental Health for Riverside County
County of Riverside District Attorney Michael Hestrin,2,yes,exact,District Attorneys
County of Riverside Probation Department,2,yes,exact,California County Probation Departments
County of Riverside and supported by the Riverside County Fairgrounds,2,no,,
"County of Riverside, Transportation and Land Management Agency",2,yes,exact,STATE OF CALIFORNIA
County of Rocklin Chamber of Commerce,2,no,,
County of Roots of Change,2,yes,exact,Roots of Change Fund
County of Roseville Chamber of Commerce,2,no,,
County of Sacramento - Public Works Agency,2,yes,normalized,STATE OF CALIFORNIA
County of Sacramento County Taxpayers League,2,yes,exact,County of Sacramento County Taxpayers League
County of Sacramento Department of Finance,2,yes,exact,STATE OF CALIFORNIA
County of Sacramento Document Management Steering Committee,2,yes,exact,STATE OF CALIFORNIA
County of Sacramento Environmental Management Department,2,yes,exact,STATE OF CALIFORNIA
County of Sacramento Land & Farming Inc,2,no,,
County of Sacramento Metropolitan Chamber of Commerce,2,no,,
County of Sacramento Office of the Assessor,2,yes,exact,STATE OF CALIFORNIA
County of Sacramento S,2,yes,exact,STATE OF CALIFORNIA
"County of Sacramento, E & J Gallo Winery",2,no,,
"County of Sacramento, Sacramento County",2,yes,exact,STATE OF CALIFORNIA
County of San Benito Probation Department,2,yes,exact,California County Probation Departments
County of San Bernardino Animal Care and Control Division,2,yes,exact,STATE OF CALIFORNIA
County of San Bernardino Auditor/Controller-Recorder,2,yes,exact,STATE OF CALIFORNIA
County of San Bernardino County Library,2,yes,exact,STATE OF CALIFORNIA
County of San Bernardino County Medical Society,2,yes,exact,County of San Bernardino County Medical Society
County of San Bernardino Housing Authority,2,yes,exact,Housing Authority of the County of San
County of San Bernardino Superior/Municipal Courts,2,yes,exact,San Bernardino County Superior and Municipal Courts
County of San Bernardino and the City of Upland,2,yes,exact,County of San Bernardino and the City of Upland
"County of San Bernardino, Office of the District Attorney, Gang Injunction",2,yes,exact,District Attorneys
"County of San Bernardino, Office of the Sheriff",2,yes,normalized,Sheriff
"County of San Bernardino, Sheriff-Coroner",2,yes,exact,Sheriff
County of San Carlos,2,yes,exact,STATE OF CALIFORNIA
County of San Carlos Chamber of Commerce Government Affairs Council,2,yes,exact,UNITED STATES CHAMBER OF COMMERCE
County of San Diego & San Diego District Attorney's Office,2,no,,
County of San Diego Assessor,2,yes,exact,STATE OF CALIFORNIA
County of San Diego Assessor's Office,2,yes,exact,Office of the Assessor of San Diego County
County of San Diego Assessor/Recorder/County Clerk,2,yes,exact,STATE OF CALIFORNIA
County of San Diego Auditor and Controller,2,yes,exact,STATE OF CALIFORNIA
County of San Diego Cable Television Review Commission,2,yes,exact,STATE OF CALIFORNIA
County of San Diego Department of the Area Agency on Aging,2,yes,exact,STATE OF CALIFORNIA
County of San Diego Department of the Public Defender,2,yes,exact,STATE OF CALIFORNIA
County of San Diego Gas & Electric,2,yes,exact,San Diego Gas & Electric (SDG&E)
"County of San Diego Second District Supervisor, Dianne Jacob",2,no,,
"County of San Diego Teamsters Local 399 UDW/AFSCME Local 3930 United Food and Commercial Workers, Western States Council Western States Council of Sheet Metal",2,no,,
County of San Diego Third District Supervisor Terra Lawson-Remer,2,no,,
"County of San Diego, Assessor/Recorder/County Clerk",2,yes,normalized,STATE OF CALIFORNIA
"County of San Diego, Department of Probation",2,yes,exact,California County Probation Departments
"County of San Diego, Department of Social",2,yes,exact,STATE OF CALIFORNIA
"County of San Diego, Department of Social Services",2,yes,exact,STATE OF CALIFORNIA
"County of San Diego, Junior Leagues of California",2,no,,
"County of San Diego, San Diego County Assessor Ernest Dronenburg, Board of Equalization Member Michelle Steele",2,no,,
"County of San Diego, Veterans Service",2,yes,exact,STATE OF CALIFORNIA
"County of San Diego, Veterans Service Office",2,yes,normalized,STATE OF CALIFORNIA
County of San Francisco Commission on the Aging,2,yes,exact,STATE OF CALIFORNIA
County of San Gabriel,2,yes,exact,STATE OF CALIFORNIA
County of San Joaquin Office of Sheriff-Coroner,2,yes,exact,Sheriff
County of San Joaquin Valley Regional Transportation Planning Agencies,2,no,,
County of San Joaquin Veterans Service,2,yes,exact,STATE OF CALIFORNIA
County of San Joaquin Veterans Service Office,2,yes,exact,STATE OF CALIFORNIA
"County of San Joaquin, Commission on Aging",2,yes,normalized,STATE OF CALIFORNIA
"County of San Joaquin, District 4 Supervisor/SJVUAPCD board",2,no,,
County of San Joso,2,yes,exact,STATE OF CALIFORNIA
County of San Luis,2,yes,exact,County of San Luis
County of San Luis Obispo (co-sources),2,yes,exact,STATE OF CALIFORNIA
County of San Luis Obispo Veterans Service Office,2,yes,exact,STATE OF CALIFORNIA
"County of San Luis Obispo, Division of Animal Services",2,yes,normalized,STATE OF CALIFORNIA
"County of San Luis Obispo, Santa Barbara",2,no,,
County of San Mateo - In Concept,2,yes,exact,STATE OF CALIFORNIA
County of San Mateo County Council of Cities,2,yes,exact,County of San Mateo County Council of Cities
County of San Mateo Parks Department,2,yes,exact,STATE OF CALIFORNIA
"County of San Mateo, Human Services Agency",2,yes,normalized,STATE OF CALIFORNIA
County of Santa Ana,2,yes,exact,STATE OF CALIFORNIA
County of Santa Barbara Animal Services,2,yes,exact,STATE OF CALIFORNIA
County of Santa Barbara Department of Social,2,yes,exact,STATE OF CALIFORNIA
County of Santa Barbara Fire Department,2,yes,exact,Santa Barbara County Fire Department
County of Santa Barbara First District Supervisor Salud Carbajal,2,yes,exact,STATE OF CALIFORNIA
County of Santa Barbara Fourth District Supervisor Doreen Farr,2,no,,
County of Santa Barbara Immunization Project,2,yes,exact,STATE OF CALIFORNIA
County of Santa Barbara Third District Supervisor Joni Gray,2,no,,
"County of Santa Barbara, Health Care Services",2,yes,exact,STATE OF CALIFORNIA
"County of Santa Barbara, in support of a prior version",2,no,,
County of Santa Barbra,2,yes,exact,County of Santa Barbra
