org_name,count,status,routed_to
City of Torrance,616,in_crosswalk,
California New Car Dealers Association,615,in_crosswalk,
Asian Pacific Environmental Network,614,in_crosswalk,
Safari Club International,614,in_crosswalk,
Department of General Services,612,in_crosswalk,
California Independent Petroleum Association,607,in_crosswalk,
1 individual,605,already_routed,org_names_that_are_actually_individuals.csv
"American Federation of State, County and Municipal",604,in_crosswalk,
Breathe California,603,in_crosswalk,
Organization of SMUD Employees,603,in_crosswalk,
California Housing Partnership Corporation,602,in_crosswalk,
Community Water Center,601,in_crosswalk,
California Healthcare Institute,599,in_crosswalk,
City of Stockton,599,in_crosswalk,
Outdoor Sportsmen's Coalition of California,599,in_crosswalk,
City of Moreno Valley,598,in_crosswalk,
Western Agricultural Processors Association,598,in_crosswalk,
California Charter Schools Association,597,in_crosswalk,
Eastern Municipal Water District,596,in_crosswalk,
"California School Employees Association, AFL-CIO",593,in_crosswalk,
County of Santa Barbara,593,in_crosswalk,
California-Nevada Conference of Operating Engineers,592,in_crosswalk,
California Public Utilities Commission,588,in_crosswalk,
Santa Clara Valley Transportation Authority,587,in_crosswalk,
Jericho,586,in_crosswalk,
Department of Health Services,585,in_crosswalk,
The Children's Partnership,583,in_crosswalk,
San Luis Obispo County Employees Association,580,in_crosswalk,
California Council of Community Behavioral Health Agencies,579,in_crosswalk,
Midpeninsula Regional Open Space District,579,in_crosswalk,
Consumers for Auto Reliability and Safety,578,in_crosswalk,
National Rifle Association,578,in_crosswalk,
California Federation for Animal Legislation,576,in_crosswalk,
Public Law Center,576,in_crosswalk,
Californians United for a Responsible Budget,572,in_crosswalk,
California Employment Law Council,570,in_crosswalk,
California Environmental Justice Alliance,570,in_crosswalk,
Anti-Defamation League,568,in_crosswalk,
Western Plant Health Association,565,in_crosswalk,
Juvenile Court Judges of California,564,in_crosswalk,
Coalition for Adequate School Housing,563,in_crosswalk,
Worksafe,563,in_crosswalk,
Conference of California Bar Associations,561,in_crosswalk,
San Bernardino Public Employees Association,560,in_crosswalk,
Western Manufactured Housing Communities Association,560,in_crosswalk,
California Independent Oil Marketers Association,557,in_crosswalk,
Alzheimer's Association,555,in_crosswalk,
California Fresh Fruit Association,555,in_crosswalk,
California Coalition for Rural Housing,554,in_crosswalk,
Active San Gabriel Valley,553,in_crosswalk,
AIDS Project Los Angeles,551,in_crosswalk,
California Waterfowl Association,551,in_crosswalk,
Flasher/Barricade Association,550,in_crosswalk,
California Association of Code Enforcement Officers,549,in_crosswalk,
Los Angeles Community College District,549,in_crosswalk,
Abundant Housing LA,547,in_crosswalk,
California Hotel & Lodging Association,546,in_crosswalk,
Housing Action Coalition,543,in_crosswalk,
Southern California Contractors Association,543,in_crosswalk,
City of Santa Barbara,540,in_crosswalk,
Long Beach Area Chamber of Commerce,537,in_crosswalk,
Children's Law Center of California,536,in_crosswalk,
City of Roseville,533,in_crosswalk,
350 Bay Area Action,532,in_crosswalk,
California Ambulance Association,532,in_crosswalk,
California Church Impact,532,in_crosswalk,
Simi Valley Chamber of Commerce,532,in_crosswalk,
Environmental Defense Center,531,in_crosswalk,
City of Rancho Cucamonga,530,in_crosswalk,
Justice in Aging,527,in_crosswalk,
California College and University Police Chiefs Association,526,in_crosswalk,
Californians Together,526,in_crosswalk,
Contra Costa Humane Society,525,in_crosswalk,
Department of Consumer Affairs,525,in_crosswalk,
Communities United for Restorative Youth Justice,524,in_crosswalk,
None submitted,523,already_routed,org_names_invalid.csv
Crime Victims United,521,in_crosswalk,
California Asian Pacific Chamber of Commerce,520,in_crosswalk,
Newport Beach Police Association,517,in_crosswalk,
AARP California,515,in_crosswalk,
California Narcotic Officers Association,515,in_crosswalk,
Riverside Sheriff's Association,515,in_crosswalk,
Santa Clara County Office of Education,515,in_crosswalk,
Local Health Plans of California,514,in_crosswalk,
California Association of Environmental Health Administrators,512,in_crosswalk,
"California Child, Youth and Family Coalition",512,in_crosswalk,
County of Los Angeles Board of Supervisors,511,in_crosswalk,
California Coalition for Women Prisoners,509,in_crosswalk,
City of Norwalk,509,in_crosswalk,
Riverside Police Officers Association,508,in_crosswalk,
Western Growers,507,in_crosswalk,
California Contract Cities Association,506,in_crosswalk,
California League of Food Producers,506,in_crosswalk,
Coalition for Humane Immigrant Rights of Los Angeles,505,in_crosswalk,
Corporation for Supportive Housing,505,in_crosswalk,
Greenbelt Alliance,505,in_crosswalk,
Southern California Gas Company,505,in_crosswalk,
Palos Verdes Police Officers Association,504,in_crosswalk,
San Francisco Chamber of Commerce,503,in_crosswalk,
Sempra Energy,503,in_crosswalk,
Association of California Life & Health Insurance Companies,501,in_crosswalk,
Non-Profit Housing Association of Northern California,501,in_crosswalk,
El Dorado Irrigation District,500,in_crosswalk,
LeadingAge California,500,in_crosswalk,
Pacific Merchant Shipping Association,500,in_crosswalk,
Riverside Sheriffs Association,500,in_crosswalk,
Sacramento County Deputy Sheriffs' Association,500,in_crosswalk,
California Family Council,499,in_crosswalk,
Culver City Police Officers' Association,499,in_crosswalk,
Fullerton Police Officers' Association,499,in_crosswalk,
The Climate Center,499,in_crosswalk,
Breast Cancer Fund,498,in_crosswalk,
City of Camarillo,498,in_crosswalk,
Burbank Police Officers' Association,497,in_crosswalk,
Rubicon Programs,497,in_crosswalk,
California State Firefighters' Association,496,in_crosswalk,
PICO California,496,in_crosswalk,
San Diego County Office of Education,494,in_crosswalk,
AT&T,493,in_crosswalk,
