originalname,editedname,relationship_type
"Pesticide Free Zone, Inc",Pesticide Free Zone,alternate_spelling
Phillip H. Schott,Phillip H. Schott,canonical
"Phillip H. Schott, Inc",Phillip H. Schott,alternate_spelling
Paso Por Paso,Paso Por Paso,canonical
"Paso Por Paso, Inc",Paso Por Paso,alternate_spelling
Pearl Harbor Survivors Association,Pearl Harbor Survivors Association,canonical
"Pearl Harbor Survivors Association, Inc",Pearl Harbor Survivors Association,alternate_spelling
Peninsula Sanitary Service,Peninsula Sanitary Service,canonical
Peninsula Sanitary Service Inc,Peninsula Sanitary Service,alternate_spelling
Peninsula Plastics Recycling,Peninsula Plastics Recycling,canonical
"Peninsula Plastics Recycling, INC",Peninsula Plastics Recycling,alternate_spelling
Pena's Disposal,Pena's Disposal,canonical
Pena's Disposal Inc,Pena's Disposal,alternate_spelling
Patricia H. Ladew Foundation,Patricia H. Ladew Foundation,canonical
"Patricia H. Ladew Foundation, INC",Patricia H. Ladew Foundation,alternate_spelling
Portland Energy Conservation,Portland Energy Conservation,canonical
Portland Energy Conservation Inc,Portland Energy Conservation,alternate_spelling
Planning Council,Planning Council,canonical
Planning Council Inc,Planning Council,alternate_spelling
Political Solutions,Political Solutions,canonical
Political Solutions Inc,Political Solutions,alternate_spelling
Plantronics,Plantronics,canonical
"Plantronics, Inc",Plantronics,alternate_spelling
Pleasantview Industries,Pleasantview Industries,canonical
"Pleasantview Industries, INC",Pleasantview Industries,alternate_spelling
Liberty Dental Plan of California,Liberty Dental Plan of California,canonical
"Liberty Dental Plan of California, Inc",Liberty Dental Plan of California,alternate_spelling
Lexmark International,Lexmark International,canonical
"Lexmark International, Inc",Lexmark International,alternate_spelling
Lex Machina,Lex Machina,canonical
"Lex Machina, Inc",Lex Machina,alternate_spelling
Land O'Lakes,Land O'Lakes,canonical
Land O'Lakes Inc,Land O'Lakes,alternate_spelling
Larry Methvin Installation,Larry Methvin Installation,canonical
"Larry Methvin Installation, Inc",Larry Methvin Installation,alternate_spelling
Lakin Tire West,Lakin Tire West,canonical
"Lakin Tire West, Inc",Lakin Tire West,alternate_spelling
Los Angeles City Employees Chicano Association,Los Angeles City Employees Chicano Association,canonical
"Los Angeles City Employees Chicano Association, Inc",Los Angeles City Employees Chicano Association,alternate_spelling
Los Angeles County Ambulance Association,Los Angeles County Ambulance Association,canonical
"Los Angeles County Ambulance Association, Inc",Los Angeles County Ambulance Association,alternate_spelling
Loop Energy,Loop Energy,canonical
Loop Energy Inc,Loop Energy,alternate_spelling
Longitude 122 West,Longitude 122 West,canonical
"Longitude 122 West, Inc",Longitude 122 West,alternate_spelling
Los Angeles Brotherhood Crusade - Black United Fund,Los Angeles Brotherhood Crusade - Black United Fund,canonical
"Los Angeles Brotherhood Crusade - Black United Fund, INC",Los Angeles Brotherhood Crusade - Black United Fund,alternate_spelling
Los Angeles Deputy Sheriffs Association,Los Angeles Deputy Sheriffs Association,canonical
"Los Angeles Deputy Sheriffs Association, Inc",Los Angeles Deputy Sheriffs Association,alternate_spelling
Lobby,Lobby,canonical
"Lobby, Inc",Lobby,alternate_spelling
K-12,K-12,canonical
K-12 Inc,K-12,alternate_spelling
K & R Transportation,K & R Transportation,canonical
K & R Transportation Inc,K & R Transportation,alternate_spelling
KKO Labs,KKO Labs,canonical
"KKO Labs, Inc",KKO Labs,alternate_spelling
Junior League of San Jose,Junior League of San Jose,canonical
"Junior League of San Jose, Inc",Junior League of San Jose,alternate_spelling
KPC Health,KPC Health,canonical
KPC Health Inc,KPC Health,alternate_spelling
Karen Acupuncture Clinic,Karen Acupuncture Clinic,canonical
Karen Acupuncture Clinic Inc,Karen Acupuncture Clinic,alternate_spelling
Joe Cassidy Construction,Joe Cassidy Construction,canonical
"Joe Cassidy Construction, Inc",Joe Cassidy Construction,alternate_spelling
Jobtrain,Jobtrain,canonical
"JobTrain, Inc",Jobtrain,alternate_spelling
Joseph Holt Plastering,Joseph Holt Plastering,canonical
"Joseph Holt Plastering, Inc",Joseph Holt Plastering,alternate_spelling
Johnson Controls,Johnson Controls,canonical
"Johnson Controls, Inc",Johnson Controls,alternate_spelling
LA Clinica De La Raza,LA Clinica De La Raza,canonical
"LA Clinica De LA Raza, Inc",LA Clinica De La Raza,alternate_spelling
Laidlaw Transit,Laidlaw Transit,canonical
Laidlaw Transit Inc,Laidlaw Transit,alternate_spelling
LAIDLAW Environmental Services,LAIDLAW Environmental Services,canonical
"Laidlaw Environmental Services, Inc",LAIDLAW Environmental Services,alternate_spelling
La Familia Counseling Center,La Familia Counseling Center,canonical
"La Familia Counseling Center, Inc",La Familia Counseling Center,alternate_spelling
Kikkoman International,Kikkoman International,canonical
"Kikkoman International, Inc",Kikkoman International,alternate_spelling
Kern County Waste Management Association,Kern County Waste Management Association,canonical
Kern County Waste Management Association Inc,Kern County Waste Management Association,alternate_spelling
Keyser Marston Associates,Keyser Marston Associates,canonical
"Keyser Marston Associates, Inc",Keyser Marston Associates,alternate_spelling
Krimson and Kreme,Krimson and Kreme,canonical
"Krimson and Kreme, Inc",Krimson and Kreme,alternate_spelling
Mitsubishi Electronics America,Mitsubishi Electronics America,canonical
"Mitsubishi Electronics America, Inc",Mitsubishi Electronics America,alternate_spelling
Mission Hiring Hall,Mission Hiring Hall,canonical
"Mission Hiring Hall, Inc",Mission Hiring Hall,alternate_spelling
Montebello Chamber of Commerce and Industry,Montebello Chamber of Commerce and Industry,canonical
"Montebello Chamber of Commerce and Industry, Inc",Montebello Chamber of Commerce and Industry,alternate_spelling
Money Management International,Money Management International,canonical
"Money Management International, INC",Money Management International,alternate_spelling
Metro-Goldwyn-Mayer Studios,Metro-Goldwyn-Mayer Studios,canonical
"Metro-Goldwyn-Mayer Studios, Inc",Metro-Goldwyn-Mayer Studios,alternate_spelling
Mervyns,Mervyns,canonical
"Mervyns, Inc",Mervyns,alternate_spelling
Merced Lao Family Community,Merced Lao Family Community,canonical
Merced Lao Family Community Inc,Merced Lao Family Community,alternate_spelling
Mercury Air Group,Mercury Air Group,canonical
"Mercury Air Group, Inc",Mercury Air Group,alternate_spelling
Mercy Medical Transportation,Mercy Medical Transportation,canonical
Mercy Medical Transportation Inc,Mercy Medical Transportation,alternate_spelling
Mercy Investment Services,Mercy Investment Services,canonical
"Mercy Investment Services, Inc",Mercy Investment Services,alternate_spelling
Mikuni Restaurant Group,Mikuni Restaurant Group,canonical
"Mikuni Restaurant Group, Inc",Mikuni Restaurant Group,alternate_spelling
NameCheap,NameCheap,canonical
"Namecheap, Inc",NameCheap,alternate_spelling
Napp Systems,Napp Systems,canonical
"NAPP Systems, Inc",Napp Systems,alternate_spelling
Napa County Landmarks,Napa County Landmarks,canonical
Napa County Landmarks Inc,Napa County Landmarks,alternate_spelling
Mountain Health & Community Services,Mountain Health & Community Services,canonical
"Mountain Health & Community Services, Inc",Mountain Health & Community Services,alternate_spelling
Morro Bay Commercial Fishermen's Organization,Morro Bay Commercial Fishermen's Organization,canonical
Morro Bay Commercial Fishermen's Organization Inc,Morro Bay Commercial Fishermen's Organization,alternate_spelling
Morongo Basin Conservation Association,Morongo Basin Conservation Association,canonical
"Morongo Basin Conservation Association, Inc",Morongo Basin Conservation Association,alternate_spelling
Mylan,Mylan,canonical
Mylan Inc,Mylan,alternate_spelling
Mack Trucks,Mack Trucks,canonical
Mack Trucks Inc,Mack Trucks,alternate_spelling
MLC Group,MLC Group,canonical
"MLC Group, Inc",MLC Group,alternate_spelling
MMA Financial,MMA Financial,canonical
"MMA Financial, Inc",MMA Financial,alternate_spelling
Manzanita Services,Manzanita Services,canonical
"Manzanita Services, Inc",Manzanita Services,alternate_spelling
Mara Hoffman,Mara Hoffman,canonical
"Mara Hoffman, Inc",Mara Hoffman,alternate_spelling
Manteca Trailer & Camper,Manteca Trailer & Camper,canonical
"Manteca Trailer & Camper, Inc",Manteca Trailer & Camper,alternate_spelling
Manhole Adjusting,Manhole Adjusting,canonical
Manhole Adjusting Inc,Manhole Adjusting,alternate_spelling
MC Transportation,MC Transportation,canonical
"MC Transportation, Inc",MC Transportation,alternate_spelling
MB Builders,MB Builders,canonical
"MB Builders, Inc",MB Builders,alternate_spelling
Maersk,Maersk,canonical
MAERSK Inc,Maersk,alternate_spelling
McGee & Thielen Insurance Brokers,McGee & Thielen Insurance Brokers,canonical
"McGee & Thielen Insurance Brokers, Inc",McGee & Thielen Insurance Brokers,alternate_spelling
MedEx Health Care,MedEx Health Care,canonical
"Medex Health Care, Inc",MedEx Health Care,alternate_spelling
Medco Containment Services,Medco Containment Services,canonical
"Medco Containment Services, Inc",Medco Containment Services,alternate_spelling
Mechanical,Mechanical,canonical
Mechanical Inc,Mechanical,alternate_spelling
Medtronic,Medtronic,canonical
"Medtronic, Inc",Medtronic,alternate_spelling
Maxim Healthcare Services,Maxim Healthcare Services,canonical
"Maxim Healthcare Services, INC",Maxim Healthcare Services,alternate_spelling
Matheson Trucking,Matheson Trucking,canonical
"Matheson Trucking, Inc",Matheson Trucking,alternate_spelling
Martinez Early Childhood Center,Martinez Early Childhood Center,canonical
Martinez Early Childhood Center Inc,Martinez Early Childhood Center,alternate_spelling
Tri-co Floors,Tri-co Floors,canonical
"Tri-Co Floors, Inc",Tri-co Floors,alternate_spelling
Trans Union,Trans Union,canonical
"Trans Union, Inc",Trans Union,alternate_spelling
Traffic School Online,Traffic School Online,canonical
"Traffic School Online, Inc",Traffic School Online,alternate_spelling
Tri-Valley Trailblazers Club,Tri-Valley Trailblazers Club,canonical
"Tri-Valley Trailblazers Club, Inc",Tri-Valley Trailblazers Club,alternate_spelling
Tudor Ranch,Tudor Ranch,canonical
"Tudor Ranch, Inc",Tudor Ranch,alternate_spelling
Tricon Transportation,Tricon Transportation,canonical
"Tricon Transportation, Inc",Tricon Transportation,alternate_spelling
Tribal Leadership Council,Tribal Leadership Council,canonical
"Tribal Leadership Council, INC",Tribal Leadership Council,alternate_spelling
Thunder Road Adolescent Treatment Centers,Thunder Road Adolescent Treatment Centers,canonical
"Thunder Road Adolescent Treatment Centers, Inc",Thunder Road Adolescent Treatment Centers,alternate_spelling
UMAREX USA,UMAREX USA,canonical
"Umarex USA, Inc",UMAREX USA,alternate_spelling
Uber Technologies,Uber Technologies,canonical
Uber Technologies Inc,Uber Technologies,alternate_spelling
USA Properties Fund,USA Properties Fund,canonical
"USA Properties Fund, Inc",USA Properties Fund,alternate_spelling
United Airlines,United Airlines,canonical
"United Airlines, Inc",United Airlines,alternate_spelling
UNITE-LA,UNITE-LA,canonical
"Unite-LA, INC",UNITE-LA,alternate_spelling
U.S. Healthworks,U.S. Healthworks,canonical
"U.S. HealthWorks, Inc",U.S. Healthworks,alternate_spelling
Tuleyome,Tuleyome,canonical
"Tuleyome, Inc",Tuleyome,alternate_spelling
TRW,TRW,canonical
TRW Inc,TRW,alternate_spelling
Synagro Technologies,Synagro Technologies,canonical
"Synagro Technologies, Inc",Synagro Technologies,alternate_spelling
Sylvatex,Sylvatex,canonical
"Sylvatex, Inc",Sylvatex,alternate_spelling
T.H.E. Clinic,T.H.E. Clinic,canonical
"T.H.E. Clinic, Inc",T.H.E. Clinic,alternate_spelling
TWR Enterprises,TWR Enterprises,canonical
"TWR Enterprises, Inc",TWR Enterprises,alternate_spelling
Supervisors,Supervisors,canonical
"Supervisors, Inc",Supervisors,alternate_spelling
Supportive Parents Information Network,Supportive Parents Information Network,canonical
"Supportive Parents Information Network, Inc",Supportive Parents Information Network,alternate_spelling
Sunny Cal Adult Day Health Care,Sunny Cal Adult Day Health Care,canonical
"Sunny Cal Adult Day Health Care, Inc",Sunny Cal Adult Day Health Care,alternate_spelling
SunVapor,SunVapor,canonical
"Sunvapor, Inc",SunVapor,alternate_spelling
Sunsweet Growers,Sunsweet Growers,canonical
"Sunsweet Growers, Inc",Sunsweet Growers,alternate_spelling
SunRun,SunRun,canonical
Sunrun INC,SunRun,alternate_spelling
The McMullen Company,The McMullen Company,canonical
"The McMullen Company, Inc",The McMullen Company,alternate_spelling
Tesorio,Tesorio,canonical
Tesorio INC,Tesorio,alternate_spelling
Terraform Industries,Terraform Industries,canonical
"Terraform Industries, INC",Terraform Industries,alternate_spelling
Teichert & Son,Teichert & Son,canonical
"Teichert & Son, Inc",Teichert & Son,alternate_spelling
Teichert,Teichert,canonical
"Teichert, Inc",Teichert,alternate_spelling
Wildlife Research Institute,Wildlife Research Institute,canonical
"Wildlife Research Institute, Inc",Wildlife Research Institute,alternate_spelling
Wheeler Logging,Wheeler Logging,canonical
"Wheeler Logging, Inc",Wheeler Logging,alternate_spelling
Whittier Rio Honda AIDS Project,Whittier Rio Honda AIDS Project,canonical
"Whittier Rio Honda AIDS Project, Inc",Whittier Rio Honda AIDS Project,alternate_spelling
Women's View Medical Group,Women's View Medical Group,canonical
"Women's View Medical Group, Inc",Women's View Medical Group,alternate_spelling
Woodbridge Partners,Woodbridge Partners,canonical
"Woodbridge Partners, Inc",Woodbridge Partners,alternate_spelling
Wong Family Benevolent Association,Wong Family Benevolent Association,canonical
"Wong Family Benevolent Association, Inc",Wong Family Benevolent Association,alternate_spelling
Woman II Woman,Woman II Woman,canonical
Woman Ii Woman INC,Woman II Woman,alternate_spelling
Wirtz Quality Installations,Wirtz Quality Installations,canonical
"Wirtz Quality Installations, Inc",Wirtz Quality Installations,alternate_spelling
Wirtz Quality Installations,Wirtz Quality Installations,canonical
Wirtz Quality Installations Inc,Wirtz Quality Installations,alternate_spelling
Weave,Weave,canonical
Weave Inc,Weave,alternate_spelling
Werner Enterprises,Werner Enterprises,canonical
"Werner Enterprises, Inc",Werner Enterprises,alternate_spelling
Wellness in the Schools,Wellness in the Schools,canonical
"Wellness in the Schools, Inc",Wellness in the Schools,alternate_spelling
Westcoe Realtors,Westcoe Realtors,canonical
"Westcoe Realtors, Inc",Westcoe Realtors,alternate_spelling
Western Center of Law and Poverty,Western Center of Law and Poverty,canonical
"Western Center of Law and Poverty, Inc",Western Center of Law and Poverty,alternate_spelling
Western Care Construction Company,Western Care Construction Company,canonical
"Western Care Construction Company, Inc",Western Care Construction Company,alternate_spelling
and Pistol Association,and Pistol Association,canonical
"and Pistol Association, Inc",and Pistol Association,alternate_spelling
for Los Angeles Deputy Sheriffs,for Los Angeles Deputy Sheriffs,canonical
"for Los Angeles Deputy Sheriffs, Inc",for Los Angeles Deputy Sheriffs,alternate_spelling
Yusen Terminals,Yusen Terminals,canonical
"Yusen Terminals, Inc",Yusen Terminals,alternate_spelling
Zoox,Zoox,canonical
"Zoox, Inc",Zoox,alternate_spelling
of California,of California,canonical
"of California, Inc",of California,alternate_spelling
"Writers Guild of America, west","Writers Guild of America, west",canonical
"Writers Guild of America, west, Inc","Writers Guild of America, west",alternate_spelling
Youth Homes,Youth Homes,canonical
Youth Homes Inc,Youth Homes,alternate_spelling
Your's For Life Ministries,Your's For Life Ministries,canonical
"Your's for Life Ministries, Inc",Your's For Life Ministries,alternate_spelling
Young's Market Company,Young's Market Company,canonical
"Young's Market Company, Inc",Young's Market Company,alternate_spelling
Valley Vision,Valley Vision,canonical
"Valley Vision, Inc",Valley Vision,alternate_spelling
Valley Vision,Valley Vision,canonical
"Valley Vision, INC",Valley Vision,alternate_spelling
Vans,Vans,canonical
"Vans, Inc",Vans,alternate_spelling
Vanir Construction Management,Vanir Construction Management,canonical
"Vanir Construction Management, Inc",Vanir Construction Management,alternate_spelling
Valley Intermodal Systems,Valley Intermodal Systems,canonical
"Valley Intermodal Systems, Inc",Valley Intermodal Systems,alternate_spelling
Universal Service Recycling,Universal Service Recycling,canonical
"Universal Service Recycling, Inc",Universal Service Recycling,alternate_spelling
Universal Service Recycling,Universal Service Recycling,canonical
"Universal Service Recycling, INC",Universal Service Recycling,alternate_spelling
W.M. Beaty & Associates,W.M. Beaty & Associates,canonical
"W.M. Beaty & Associates, Inc",W.M. Beaty & Associates,alternate_spelling
WATTSHealth Foundation,WATTSHealth Foundation,canonical
"WattsHealth Foundation, Inc",WATTSHealth Foundation,alternate_spelling
Warner Brothers Entertainment,Warner Brothers Entertainment,canonical
Warner Brothers Entertainment Inc,Warner Brothers Entertainment,alternate_spelling
Wnc & Associates,Wnc & Associates,canonical
"WNC & Associates, Inc",Wnc & Associates,alternate_spelling
Wallace Remodeling,Wallace Remodeling,canonical
"Wallace Remodeling, Inc",Wallace Remodeling,alternate_spelling
Verizon Communications,Verizon Communications,canonical
Verizon Communications Inc,Verizon Communications,alternate_spelling
Viloria Construction,Viloria Construction,canonical
"Viloria Construction, Inc",Viloria Construction,alternate_spelling
Visa,Visa,canonical
Visa Inc,Visa,alternate_spelling
San Francisco Deputy Sheriffs' Association,San Francisco Deputy Sheriffs' Association,canonical
"San Francisco Deputy Sheriffs' Association, Inc",San Francisco Deputy Sheriffs' Association,alternate_spelling
San Diego Domestic Violence Council,San Diego Domestic Violence Council,canonical
"San Diego Domestic Violence Council, Inc",San Diego Domestic Violence Council,alternate_spelling
San Fernando Valley Community Mental Health Center,San Fernando Valley Community Mental Health Center,canonical
"San Fernando Valley Community Mental Health Center, Inc",San Fernando Valley Community Mental Health Center,alternate_spelling
San Diego Workforce Partnership,San Diego Workforce Partnership,canonical
"San Diego Workforce Partnership, Inc",San Diego Workforce Partnership,alternate_spelling
Santa Maria Valley Humane Society,Santa Maria Valley Humane Society,canonical
"Santa Maria Valley Humane Society, Inc",Santa Maria Valley Humane Society,alternate_spelling
Santa Fe Aggregates,Santa Fe Aggregates,canonical
"Santa Fe Aggregates, Inc",Santa Fe Aggregates,alternate_spelling
Ryan,Ryan,canonical
"Ryan, Inc",Ryan,alternate_spelling
Russian American Media,Russian American Media,canonical
"Russian American Media, Inc",Russian American Media,alternate_spelling
Rural Human Services,Rural Human Services,canonical
Rural Human Services INC,Rural Human Services,alternate_spelling
Riverside Personnel Services,Riverside Personnel Services,canonical
"Riverside Personnel Services, Inc",Riverside Personnel Services,alternate_spelling
Rivian Automotive,Rivian Automotive,canonical
"Rivian Automotive, INC",Rivian Automotive,alternate_spelling
Ronald McDonald House Charities of San Diego,Ronald McDonald House Charities of San Diego,canonical
"Ronald McDonald House Charities of San Diego, Inc",Ronald McDonald House Charities of San Diego,alternate_spelling
Rolling Orange,Rolling Orange,canonical
"Rolling Orange, Inc",Rolling Orange,alternate_spelling
Safety Center,Safety Center,canonical
"Safety Center, Inc",Safety Center,alternate_spelling
Safestway Driving School,Safestway Driving School,canonical
"Safestway Driving School, Inc",Safestway Driving School,alternate_spelling
Samsung SDI America,Samsung SDI America,canonical
"Samsung SDI America, Inc",Samsung SDI America,alternate_spelling
San Bernardino Community Service Center,San Bernardino Community Service Center,canonical
"San Bernardino Community Service Center, INC",San Bernardino Community Service Center,alternate_spelling
SPG Solar,SPG Solar,canonical
SPG Solar Inc,SPG Solar,alternate_spelling
Site Design Associates,Site Design Associates,canonical
"SITE Design Associates, Inc",Site Design Associates,alternate_spelling
Specialized Training On Preventing Domestic Violence,Specialized Training On Preventing Domestic Violence,canonical
"Specialized Training on Preventing Domestic Violence, Inc",Specialized Training On Preventing Domestic Violence,alternate_spelling
Special Service for Groups,Special Service for Groups,canonical
"Special Service for Groups, Inc",Special Service for Groups,alternate_spelling
Southern Indian Health Council,Southern Indian Health Council,canonical
"Southern Indian Health Council, INC",Southern Indian Health Council,alternate_spelling
Sport and Arms Show Producers of America,Sport and Arms Show Producers of America,canonical
"Sport and Arms Show Producers of America, Inc",Sport and Arms Show Producers of America,alternate_spelling
Southern California Water Utilities Association,Southern California Water Utilities Association,canonical
"Southern California Water Utilities Association, Inc",Southern California Water Utilities Association,alternate_spelling
South Bay Recycling,South Bay Recycling,canonical
South Bay Recycling Inc,South Bay Recycling,alternate_spelling
Sorrento Cheese Company,Sorrento Cheese Company,canonical
"Sorrento Cheese Company, Inc",Sorrento Cheese Company,alternate_spelling
Southern California Tribal Chairman's Association,Southern California Tribal Chairman's Association,canonical
"Southern California Tribal Chairman's Association, Inc",Southern California Tribal Chairman's Association,alternate_spelling
Southern California Alaskan Malamute Club,Southern California Alaskan Malamute Club,canonical
Southern California Alaskan Malamute Club Inc,Southern California Alaskan Malamute Club,alternate_spelling
Southern CA Water Committee,Southern CA Water Committee,canonical
"Southern CA Water Committee, Inc",Southern CA Water Committee,alternate_spelling
Strippers United,Strippers United,canonical
Strippers United Inc,Strippers United,alternate_spelling
Sun Hing Foods,Sun Hing Foods,canonical
Sun Hing Foods Inc,Sun Hing Foods,alternate_spelling
SunRun,SunRun,canonical
"SunRun, Inc",SunRun,alternate_spelling
SunEdison,SunEdison,canonical
SunEdison Inc,SunEdison,alternate_spelling
Suneco Energy,Suneco Energy,canonical
"SunEco Energy, Inc",Suneco Energy,alternate_spelling
Stewart Enterprises,Stewart Enterprises,canonical
"Stewart Enterprises, Inc",Stewart Enterprises,alternate_spelling
Stand Up Placer,Stand Up Placer,canonical
"Stand Up Placer, INC",Stand Up Placer,alternate_spelling
Star Shipping,Star Shipping,canonical
"Star Shipping, Inc",Star Shipping,alternate_spelling
STAR Bend Farms,STAR Bend Farms,canonical
"Star Bend Farms, Inc",STAR Bend Farms,alternate_spelling
Shapell Industries,Shapell Industries,canonical
Shapell Industries Inc,Shapell Industries,alternate_spelling
Setco,Setco,canonical
"Setco, Inc",Setco,alternate_spelling
Segway,Segway,canonical
"Segway, Inc",Segway,alternate_spelling
See's Candies,See's Candies,canonical
"See's Candies, Inc",See's Candies,alternate_spelling
SeaWave Battery,SeaWave Battery,canonical
"SeaWave Battery, Inc",SeaWave Battery,alternate_spelling
Sentinel Defender Services,Sentinel Defender Services,canonical
"Sentinel Defender Services, Inc",Sentinel Defender Services,alternate_spelling
Solarnexus,Solarnexus,canonical
"SolarNexus, Inc",Solarnexus,alternate_spelling
Solarponics,Solarponics,canonical
"Solarponics, Inc",Solarponics,alternate_spelling
Solar Unlimited,Solar Unlimited,canonical
"Solar Unlimited, Inc",Solar Unlimited,alternate_spelling
Solar Turbines,Solar Turbines,canonical
Solar Turbines Inc,Solar Turbines,alternate_spelling
Sierra Stair Works,Sierra Stair Works,canonical
"Sierra Stair Works, Inc",Sierra Stair Works,alternate_spelling
Signet Armorlite,Signet Armorlite,canonical
"Signet Armorlite, Inc",Signet Armorlite,alternate_spelling
Silicon Valley Cab Company,Silicon Valley Cab Company,canonical
"Silicon Valley Cab Company, Inc",Silicon Valley Cab Company,alternate_spelling
Sickle Cell Disease Association of America,Sickle Cell Disease Association of America,canonical
"Sickle Cell Disease Association of America, Inc",Sickle Cell Disease Association of America,alternate_spelling
Siatech,Siatech,canonical
"Siatech, Inc",Siatech,alternate_spelling
Siemens,Siemens,canonical
"Siemens, Inc",Siemens,alternate_spelling
Skinowl,Skinowl,canonical
"Skinowl, INC",Skinowl,alternate_spelling
California Association of Harbor Masters and Port Captains,California Association of Harbor Masters and Port Captains,canonical
"California Association of Harbor Masters and Port Captains, Inc",California Association of Harbor Masters and Port Captains,alternate_spelling
California Association of Harbor Masters & Port Captains,California Association of Harbor Masters & Port Captains,canonical
"California Association of Harbor Masters & Port Captains, Inc",California Association of Harbor Masters & Port Captains,alternate_spelling
California Association of HMOS,California Association of HMOS,canonical
"California Association of HMOs,Inc",California Association of HMOS,alternate_spelling
California Association of Four Wheel Drive Clubs,California Association of Four Wheel Drive Clubs,canonical
"California Association of Four Wheel Drive Clubs, Inc",California Association of Four Wheel Drive Clubs,alternate_spelling
California Business Education Association,California Business Education Association,canonical
"California Business Education Association, Inc",California Business Education Association,alternate_spelling
California Marine Parks and Harbors Association,California Marine Parks and Harbors Association,canonical
"California Marine Parks and Harbors Association, Inc",California Marine Parks and Harbors Association,alternate_spelling
California Offset Printers,California Offset Printers,canonical
"California Offset Printers, Inc",California Offset Printers,alternate_spelling
California Hispanic Health Care Association,California Hispanic Health Care Association,canonical
"California Hispanic Health Care Association, Inc",California Hispanic Health Care Association,alternate_spelling
California Handgun Control,California Handgun Control,canonical
"California Handgun Control, Inc",California Handgun Control,alternate_spelling
Calstart,Calstart,canonical
"CALSTART, Inc",Calstart,alternate_spelling
Build Group,Build Group,canonical
"Build Group, INC",Build Group,alternate_spelling
Broadwater Insurance Agency,Broadwater Insurance Agency,canonical
"Broadwater Insurance Agency, Inc",Broadwater Insurance Agency,alternate_spelling
Brothers Against Guns,Brothers Against Guns,canonical
Brothers Against Guns Inc,Brothers Against Guns,alternate_spelling
Building Industry Assoc. of Southern CA,Building Industry Assoc. of Southern CA,canonical
"Building Industry Assoc. of Southern CA, Inc",Building Industry Assoc. of Southern CA,alternate_spelling
Bull Terrier Club of America,Bull Terrier Club of America,canonical
"Bull Terrier Club of America, Inc",Bull Terrier Club of America,alternate_spelling
Bulldog Club of Northern California,Bulldog Club of Northern California,canonical
"Bulldog Club of Northern California, Inc",Bulldog Club of Northern California,alternate_spelling
Cal.net,Cal.net,canonical
"Cal.net, Inc",Cal.net,alternate_spelling
CalWind Resources,CalWind Resources,canonical
"CalWind Resources, Inc",CalWind Resources,alternate_spelling
California Animal Control Directors' Association,California Animal Control Directors' Association,canonical
"California Animal Control Directors' Association, Inc",California Animal Control Directors' Association,alternate_spelling
California Alliance of Licensed Security and Guard Agencies,California Alliance of Licensed Security and Guard Agencies,canonical
"California Alliance of Licensed Security and Guard Agencies, Inc",California Alliance of Licensed Security and Guard Agencies,alternate_spelling
CORE Medical Clinic,CORE Medical Clinic,canonical
"CORE Medical Clinic, Inc",CORE Medical Clinic,alternate_spelling
Cabugao Seniors,Cabugao Seniors,canonical
"Cabugao Seniors, Inc",Cabugao Seniors,alternate_spelling
CADIZ,CADIZ,canonical
Cadiz Inc,CADIZ,alternate_spelling
CRI-Help,CRI-Help,canonical
"CRI-HELP, Inc",CRI-Help,alternate_spelling
CTY Housing,CTY Housing,canonical
"CTY Housing, Inc",CTY Housing,alternate_spelling
Charter Communications,Charter Communications,canonical
"Charter Communications, Inc",Charter Communications,alternate_spelling
Charles C. Bell,Charles C. Bell,canonical
"Charles C. Bell, Inc",Charles C. Bell,alternate_spelling
Check into Cash,Check into Cash,canonical
Check Into Cash Inc,Check into Cash,alternate_spelling
Center for The Pacific Asian Family,Center for The Pacific Asian Family,canonical
"Center for the Pacific Asian Family, Inc",Center for The Pacific Asian Family,alternate_spelling
Central Valley Children's Partnership,Central Valley Children's Partnership,canonical
"Central Valley Children's Partnership, Inc",Central Valley Children's Partnership,alternate_spelling
Central Coast Fryer Farms,Central Coast Fryer Farms,canonical
Central Coast Fryer Farms Inc,Central Coast Fryer Farms,alternate_spelling
Central Coast Energy Services,Central Coast Energy Services,canonical
"Central Coast Energy Services, Inc",Central Coast Energy Services,alternate_spelling
Christopherson Homes,Christopherson Homes,canonical
"Christopherson Homes, Inc",Christopherson Homes,alternate_spelling
Circle M Contractors,Circle M Contractors,canonical
"Circle M Contractors, Inc",Circle M Contractors,alternate_spelling
City Ambulance of Eureka,City Ambulance of Eureka,canonical
"City Ambulance of Eureka, Inc",City Ambulance of Eureka,alternate_spelling
City Fibers,City Fibers,canonical
"City Fibers, Inc",City Fibers,alternate_spelling
Christopherson Homes,Christopherson Homes,canonical
Christopherson Homes Inc,Christopherson Homes,alternate_spelling
Child Abuse Prevention Council of Sacramento,Child Abuse Prevention Council of Sacramento,canonical
"Child Abuse Prevention Council of Sacramento, Inc",Child Abuse Prevention Council of Sacramento,alternate_spelling
Child Development Consortium of Los Angeles,Child Development Consortium of Los Angeles,canonical
"Child Development Consortium of Los Angeles, Inc",Child Development Consortium of Los Angeles,alternate_spelling
Children's Institute,Children's Institute,canonical
Children's Institute Inc,Children's Institute,alternate_spelling
California State Supervisors,California State Supervisors,canonical
"California State Supervisors, Inc",California State Supervisors,alternate_spelling
California Public Health Association - North CALSTART,California Public Health Association - North CALSTART,canonical
