originalname,editedname,relationship_type
ALLIANCE FOR CHILDREN'S RIGHTS,ALLIANCE FOR CHILDREN'S RIGHTS,canonical
ALLIANCE FOR COMMUNITY TRANSIT,ACT-LA,alternate_spelling
ALLIANCE FOR COMMUNITY TRANSIT - LOS ANGELES,ACT-LA,alternate_spelling
ALLIANCE FOR COMMUNITY TRANSIT - LOS ANGELES (ACT-LA),ACT-LA,alternate_spelling
ALLIANCE FOR REGIONAL SOLUTIONS,ALLIANCE FOR REGIONAL SOLUTIONS,canonical
ALLIANCE LA FORWARD,ALLIANCE LA FORWARD,canonical
ALLIANCE OF CA AUTISM ORGANIZATIONS,ALLIANCE OF CALIFORNIAAUTISM ORGANIZATIONS,alternate_spelling
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT,ACCE,alternate_spelling
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE ACTION),ACCE,alternate_spelling
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE),ACCE,alternate_spelling
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE) ACTION,ACCE,alternate_spelling
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (LOS ANGELES),ACCE,alternate_spelling
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION,ACCE,alternate_spelling
ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT EAH HOUSING,ACCE,alternate_spelling
ALLIANCE OF CATHOLIC HEALTH CARE,ALLIANCE OF CATHOLIC HEALTH CARE,canonical
ALLIANCE ON AGING,ALLIANCE ON AGING,canonical
ALLIES FOR EVERY CHILD,ALLIES FOR EVERY CHILD,canonical
ALLSTATE INSURANCE COMPANY,ALLSTATE INSURANCE COMPANY,canonical
ALMOND ALLIANCE OF CALIFORNIA,ALMOND ALLIANCE OF CALIFORNIA,canonical
"ALPHA CONSTRUCTION CO., INC.",ALPHA CONSTRUCTION COMPANY,alternate_spelling
ALPHA CONSTRUCTION COMPANY,ALPHA CONSTRUCTION COMPANY,canonical
ALTA HOUSING,ALTA HOUSING,canonical
