org_name,bills_supported
"Kathleen Losekoot, President, California Women in Timber",3
L.A. Affiliate of the National Association of Counsel for Children,3
"L.A. County Probation Officers Union, AFSCME, Local 685",3
"LA County Probation Officers Union, AFSCME, Local 685",3
"LA Probation Union, AFSCME, Local 685",3
LAFCO of Butte,3
LAFCO of Fresno,3
LAFCO of Kern,3
LAFCO of Merced,3
LAFCO of Nevada,3
"Larry J. Shaw, Chief of Police, City of Brentwood",3
"Larry Profitt, Chief of Police, City of Rio Vista",3
Los Angeles County Probation Officers Union AFSCEME Local 685,3
Los Angeles County Probation Officers Union Local 685,3
"Los Angeles County Probation Officers Union, Local 685, AFSCME",3
"Los Angeles County Probation Officers' Union, Local 685",3
City of Los Angeles,3
Marin Institute,3
"Louie Arrollo, former Mayor, City of Ceres",3
"Mara W. Elliott, City Attorney, City of San Diego",3
"Marilyn Ashcraft, Mayor, City of Alameda",3
"Mary Lou Andrade, Treasurer-Tax Collector, County of San Benito",3
"Maternal Mental Health Now, co-sponsors of",3
Mathews Foundation for Prostate Cancer Research (committee),3
"Mayor Albert Robles, City of Carson",3
"Mayor Ann Johnston, City of Stockton",3
"Mayor Blackmun, City of Colfax",3
"Mayor Carl Hilliard, City of Del Mar",3
"Mayor Carolyn Van Horn, City of Malibu",3
"Mayor Cheryl Cox, City of Chula Vista",3
"Mayor Deborah Penrose, City of Half Moon Bay",3
"Mayor Helene Schneider, City of Santa Barbara",3
"Mayor James Bond, City of Encinitas",3
"Mayor James C. Janney, City of Imperial Beach",3
"Mayor Jim Desmond, City of San Marcos",3
"Mayor Karin MacMillan, City of Fairfield",3
"Mayor Kevin McCarty, City of Sacramento",3
"Mayor Leroy Mills, City of Cypress",3
"Mayor Lori Holt Pfeiler, City of Escondido",3
"Mayor Mary Casillas Salas, City of Chula Vista",3
"Mayor Michael Tubbs, City of Stockton",3
"Mayor Michael Vargas, City of Perris",3
"Mayor Pat Gilbreath, City of Redlands",3
"Mayor Pro Tem David J. Toro, City of Colton",3
"Mayor Pro Tem Pedro Aceituno, City of Bell Gardens",3
"Mayor Pro Tempore Brad Reese, City of Villa Park",3
"Mayor Pro Tempore Doug McAllister, City of Murrieta",3
"Mayor Randon K. Lane, City of Murrieta",3
"Mayor Scott Donahue, City of Emeryville",3
"Mayor Tom Smisek, City of Coronado",3
"Mayor, City of Berkeley",3
"Mayor, City of El Cerrito",3
"Mayor, City of Hayward",3
"Mayor, City of La Puente",3
"Mayor, City of Santa Barbara-Helene Schneider",3
"Miguel Pulido, Mayor, City of Santa Ana",3
"Mike Campbell & Associates, City of Industry, CA",3
"Mike Spence, Mayor Pro Tem, City of West Covina",3
Minority Apartment Owners Association - Minority apartment: owners in Los Angeles County,3
"Morgan Keegan & Company, Inc",3
"Morgan Stanley & Company, Inc",3
"Mr. David M. Singer, Chief of Police, City of Signal Hill",3
"NeuroRights Foundation, who sponsored",3
"Ocean Conservancy, in support of the bill",3
"Office of Mayor Antonio R. Villaraigosa, City of Los Angeles",3
"Office of the County Assessor, County of Santa Clara",3
"Office of the District Attorney, County of Riverside",3
"Office of the Mayor Antonio Villaraigosa, City of Los Angeles",3
"Office of the Mayor, City of San Francisco",3
Oppose Amalgamated Transit Union Local 1555,3
Orange County,3
Los Angeles County,3
"Otto Wm. Giuliani, Chief of Police, City of Benicia",3
"Phillip V. Coleman, Police Chief, City of Davis",3
