org_name,bills_supported
"California Travel Industry Association (""In Concept"")",10
California State Controller Steve Westly,10
"California Restaurant Association (""In Concept"")",10
California Physical Therapy Association (CPTA),10
"California Lodging Industry Association (""In Concept"")",10
"California League of Food Processors (""In Concept"")",10
California Health + Advocates,10
"California Grocers Association (""In Concept"")",10
"California Fig Institute (""In Concept"")",10
"California Farm Bureau Federation (""In Concept"")",10
"California Citrus Mutual (""In Concept"")",10
"California Business Properties Association (""In Concept"")",10
"California Beer and Beverage Distributors (""In Concept"")",10
California Attorney General Kamala Harris,10
California American Association of University Women,10
Bell Gardens Chamber of Commerce,10
American Federation of State County Municipal Employees,10
American Association of University Women (AAUW) San Jose,10
Alliance of Californians for Community Empowerment (ACCE Action),10
"Agriculture Council of California (""In Concept"")",10
A number of individuals,10
25 individuals,10
21 individuals,10
17 individuals,10
14 Individuals,10
four individuals,9
for the Advancement of Colored People,9
bill,9
Yuba-Sutter Chamber of Commerce,9
"Ventura, County of",9
United States Senator Dianne Feinstein,9
U.S. Senator Dianne Feinstein,9
Trusts and Estates Section of the State Bar of,9
The California Veterinary Medical Association,9
Target,9
South Pasadena Chamber of Commerce,9
South Gate Chamber of Commerce,9
Slo County YIMBY,9
Sheriffs,9
Sequoia Audubon Society,9
San Francisco Fire Fighters,9
San Diego Police Officers Association Inc,9
REI,9
Pasadena Chamber of Commerce and Civic Association,9
PageF,9
PageB,9
Over 100 individuals,9
Orange County Citizens Against Lawsuit Abuse,9
North Lake Tahoe Chamber of Commerce,9
Natura,9
"National Federation of Independent Business (""In Concept"")",9
NAMI-CA,9
NAACP Los Angeles,9
Murrieta Chamber of Commerce,9
Mayor Robert Garcia,9
"Los Angeles Probation Union, AFSCME, Local 685",9
Lomita Chamber of Commerce,9
Livermore Valley Chamber of Commerce,9
Letters from various individuals,9
"Laguna Beach, City of",9
Indivisible Claremont/Inland Valley,9
Indivisible California Statestrong,9
Indivisible CA-25 Simi Valley-Porter Ranch,9
Duarte Chamber of Commerce,9
Council Member Zach Hilton,9
Controller,9
"Coalition of California Welfare Rights Organizations, Inc. - sponsor",9
"Climate Reality Project, San Fernando Valley Chapter",9
City of Ontario Police Department,9
City of Fremont Police Department,9
Carson Black Chamber of Commerce,9
California Speech Language Hearing Association,9
California Business Properties,9
California Asian Pacific Chamber of Commerce (CalAsian),9
Buena Park Chamber of Commerce,9
Beaumont Chamber of Commerce,9
"American Federation of Teachers Guild, Local 1931",9
Alameda County District Attorney Nancy O'Malley,9
AARP of California,9
30 Individuals,9
16 Individuals,9
15 Individuals,9
10 Individuals,9
of Los Angeles,8
million,8
Yimby Los Angeles,8
Women,8
Ventura County Clergy and Laity United for Economic Justice,8
Venice Chamber of Commerce,8
Vallejo Chamber of Commerce,8
Turlock Chamber of Commerce,8
Stand Up For California,8
Socal 350,8
Sloco Yimby,8
"Santa Monica, City Of",8
Santa Clara Chamber of Commerce,8
San Diego350,8
San Diego Chief of Police,8
San Carlos Chamber of Commerce,8
SF YIMBY,8
Private Individuals,8
Planned Parenthood of Los Angeles,8
Pajaro Valley Chamber of Commerce,8
PIF,8
"Ochin, INC",8
Numerous private citizens,8
Numerous Individual Letters,8
Moreno Valley Black Chamber of Commerce,8
Montebello Chamber of Commerce,8
Menifee Valley Chamber of Commerce,8
Mayor Libby Schaaf,8
"Madrone Audubon Society, Sonoma County",8
"London Breed, Mayor of San Francisco",8
Lieutenant Governor Leo McCarthy,8
Law,8
Lancaster Chamber of Commerce,8
Kern County Supervisor Jeff Flores,8
Japanese Chamber of Commerce of Northern California,8
Indivisible CA-25 Simi Valley Porter Ranch,8
Indian Valley Indivisibles,8
I cannot,8
Hesperia Chamber of Commerce,8
Governor Schwarzenegger,8
Governor Gavin Newsom,8
Glendale Chamber of Commerce,8
Fresno Area Chamber of Commerce,8
Fiona Ma - California State Treasurer,8
Emeryville,8
Duarte,8
County Welfare Directors of California,8
Corp,8
Corona,8
Congressman Sam Farr,8
Congressman Mike Thompson,8
"Climate Reality Project, Silicon Valley Chapter",8
Claremont Chamber of Commerce,8
City of Anaheim Police Department,8
California State Association of Counties (prior version),8
California Primary Care Association (prior version),8
California Attorney General Xavier Becerra,8
California Association of Health Underwriters (CAHU),8
Calexico Chamber of Commerce,8
CLF,8
CA State NAACP,8
Branch,8
"Black Brant Group, The Cal-Ore Wetlands and Waterfowl Council",8
Banning Chamber of Commerce,8
"Attorney General, Rob Bonta",8
Attorney General Jerry Brown,8
"As of June 14, 1996",8
Arguments,8
"Alameda County District Attorney, Nancy O'Malley",8
4 private citizens,8
33 individuals,8
30 individuals,8
22 individuals,8
(unable to re-verify due to time limitation),8
www,7
supporters,7
sponsors,7
several letters from private citizens,7
individual,7
While I,7
Ways & Means,7
WOMEN FOR,7
"WEAVE, Inc",7
Tww/indivisible - Los Gatos,7
Turlock,7
Thousands of individuals,7
They,7
The Hertz Corporation,7
Ten individuals,7
Stand Up for California,7
Some individuals,7
Silicon Valley Black Chamber of Commerce,7
Seniors,7
Senator Diane Feinstein,7
Secretary of State Bill Jones,7
Santa Cruz Area Chamber of Commerce,7
"Santa Clarita, City of",7
San Jose - Evergreen Community College District,7
San Francisco Mayor Edwin M. Lee,7
San Francisco Japanese American Citizens League,7
San Fernando Valley YIMBY,7
San Fernando Chamber of Commerce,7
Ridgecrest Chamber of Commerce,7
Poway Chamber of Commerce,7
Port Hueneme Chamber of Commerce,7
Planned Parenthood Advocacy Project Los Angeles,7
Pittsburg Chamber of Commerce,7
Peoples' Self-Help Housing Corp,7
Palmdale Chamber of Commerce,7
PUEBLO,7
PICO,7
PACE,7
Ontario Chamber of Commerce,7
OPPOSED,7
Note,7
Morgan Hill Chamber of Commerce,7
Montebello,7
Montclair Chamber of Commerce,7
Mayor of the City of Los Angeles,7
Marin Audubon Society,7
Los Angeles NAACP,7
Long Beach YIMBY,7
Life Support Alliance,7
Letters from two individuals,7
League of Women Voters of CA,7
"Lafayette, City of",7
King City,7
"Kennedy Commission, Irvine",7
Indivisible California,7
Indivisible Ca-25 Simi Valley Porter Ranch,7
Individuals (4),7
Individuals (1),7
Individual letters (1),7
"In the individual market, the ACA sought to preserve the balance between comprehensive coverage and affordability by requiring",7
IX,7
Hon,7
Home,7
Hayward Chamber of Commerce,7
Granada Hills Chamber of Commerce,7
Gayle Paul,7
Fountain Valley Chamber of Commerce,7
Eureka Chamber of Commerce,7
Escondido Chamber of Commerce,7
"Elders Climate Action, Southern California Chapter",7
Delano,7
City of Monrovia Police Department,7
City of Inc,7
City of Folsom Police Department,7
"Chino Hills, City of",7
Causa Justa :: Just Cause,7
California State Employees Association (CSEA) - Sponsor,7
California State Conference of the National Association for the Advancement of Colored,7
"California State Association of Counties (""In Concept"")",7
California Senior Legislature - Sponsor,7
"California Rifle and Pistol Association, INC",7
California Retailers Associaiton,7
California Lieutenant Governor Gavin Newsom,7
California Clinical Laboratory Association (CCLA),7
"California Association of Nurse Anesthetists, Inc",7
California Association of Clerks and Election Officials (prior version),7
CCIA,7
CALPIRG (prior version),7
CA Black Chamber of Commerce,7
Brea,7
Big Bear Chamber of Commerce,7
"Betty Yee, California State Controller",7
"Betty T. Yee, California State Controller",7
Association of Family Conciliation Courts,7
"As of March 31, 1995",7
"As of June 21, 1996",7
American Society of Civil Engineers - Region 9,7
American Civil Liberties Union of California (prior version),7
Alameda County District Attorney Nancy E. O'Malley,7
Afscme CA,7
ARC,7
9 Individuals,7
57 individuals,7
40 individuals,7
28 individuals,7
25 Individuals,7
19 individuals,7
we urge your,6
we are pleased,6
of 1911,6
numerous individual letters,6
are,6
and Students,6
We urge you,6
"Visalia, City of",6
Valley Industry Commerce Association,6
Vallejo-benicia Indivisible,6
United Domestic Workers (UDW),6
United Domestic Providers of America/AFSCME,6
Unitarian Universalist Justice Ministry of California,6
UNAC/UHCP,6
Tri-County Chamber Alliance,6
Treasurer Phil Angelides,6
There is no registered,6
There is no known,6
The Education Trust West,6
Taft,6
"Steve Westly, California State Controller",6
State Controller Malia M. Cohen,6
State Controller Gray Davis,6
Sponsors,6
South San Francisco Chamber of Commerce,6
"Soledad, City of",6
Slavic-American Chamber of Commerce,6
Silicon Valley Debug,6
Showing Up for Racial Justice - Bay Area,6
Seven Individuals,6
"Secretary of State, Bill Jones",6
Secretary of State Shirley N,6
Secretary of State Alex Padilla (prior version),6
Screen Actors Guild (SAG),6
San Luis Delta-Mendota Water Authority,6
San Leandro Chamber of Commerce,6
SF Yimby,6
Rosemead Chamber of Commerce,6
Randy Chinn,6
RESOLVE,6
Pleasanton,6
Planned Parenthood Shasta-Diablo,6
Placentia,6
Pfizer Inc,6
Petaluma,6
"Patagonia, Inc",6
Pacific Mutual,6
Ohlone Audubon Society,6
Oakland African American Chamber of Commerce,6
"OCHIN, Inc",6
Numerous private individuals,6
Numerous Private Citizens,6
No letters received,6
National Audubon Society - California,6
National,6
Member,6
Medicine,6
Many letters from individuals,6
Lt. Governor Leo McCarthy,6
Los Angeles Mayor Karen Bass,6
Long Beach Mayor Robert Garcia,6
Loma Linda Chamber of Commerce,6
Lieutenant Governor Gray Davis,6
Letters from numerous individuals,6
Laws,6
Landscaping and Lighting Act of 1972,6
Lake County Chamber of Commerce,6
La Palma,6
La Mesa Chamber of Commerce,6
La Habra Area Chamber of Commerce,6
Joint Venture: Silicon Valley Network,6
"John Chiang, California State Treasurer",6
Inyo,6
Inland Empire African American Chamber of Commerce,6
Indivisible Ca: StateStrong,6
Individuals - 2,6
Individuals (5),6
Individual letters (5),6
Individual Letters,6
Improvement Area Law,6
Housing Is a Human Right - Orange County,6
"Hayward, City of",6
Greater Redding Chamber of Commerce,6
Greater Lakewood Chamber of Commerce,6
Gray Panthers (prior version),6
Governor Pete Wilson,6
"Gavin Newsom, Lieutenant Governor",6
Gateway Chamber Alliance,6
Flo,6
Five private citizens,6
Finance,6
Feminists in Action Los Angeles (Indivisible CA 34 Womens),6
"Daniel E. Lungren, Attorney General",6
Crenshaw Chamber of Commerce,6
Courage Campaign (prior version),6
Councilmember Donna Frye,6
Councilmember David Alvarez,6
Congresswoman Lucille Roybal-Allard,6
City of Redding Police Department,6
City of Lompoc Police Department,6
City of Irvine Police Department,6
City of Fresno Police Department,6
City of Burbank Police Department,6
Citrus Heights Chamber of Commerce,6
Chatsworth Chamber of Commerce,6
Chamber of Commerce Mountain View,6
"Camarillo, City of",6
"California-Nevada Conference of Operating Engineers, sponsor of the bill",6
