org_name,bills_supported
Oakland Chamber of Commerce,27
Network,27
Long Beach,27
Indivisible SF,27
Housing Now! CA,27
Hemet City Fire Fighters Association,27
Governor Gray Davis,27
Brady California United Against Gun Violence,27
Attorney General Xavier Becerra,27
Association for Los Angeles Deputy Sheriffs (ALADS),27
American Legion Department of California,27
"American College of Emergency Physicians, California",27
American Civil Liberties Union/Northern California/Southern California/San Diego and Imperial Counties,27
AMVETS Department of California,27
The Transformative In-prison Workgroup,26
Sonoma County District Attorney,26
Pomona Police Officer Association,26
Planned Parenthood of Orange and San Bernardino Counties,26
Planned Parenthood Affiliates of California (PPAC),26
Otay Mesa Chamber of Commerce,26
Mojave Water Agency,26
Mayor Todd Gloria,26
Lieutenant Governor Cruz M. Bustamante,26
Individual letter (1),26
Greater Riverside Chamber of Commerce,26
Fremont Chamber of Commerce,26
"Family Law Section, State Bar of California",26
El Monte/South El Monte Chamber of Commerce,26
Department of California,26
Culver City Chamber of Commerce,26
Corporation,26
Corona Chamber of Commerce,26
City,26
Carson Chamber of Commerce,26
California State Controller John Chiang,26
California Labor Federation (AFL-CIO),26
California Hospital Association/California Association of Hospitals and Health Systems,26
"CFT- A Union of Educators & Classified Professionals, AFT, AFL-CIO",26
Brawley Chamber of Commerce,26
Brady Campaign California,26
Association for Los Angeles County Deputy Sheriffs,26
Asian Americans Advancing Justice-California,26
Yimby Slo,25
United Domestic Workers/AFSCME Local 3930,25
"The Climate Reality Project, Los Angeles Chapter",25
"Strategic Committee of Public Employees, Laborers' International Union of North America",25
Sandiego350,25
San Jose Chamber of Commerce,25
San Diego East County Chamber of Commerce,25
Oakland,25
Mendocino County,25
"League of California Cities, Los Angeles County Division",25
Indivisible Sebastopol,25
Indivisible CA: Statestrong,25
Indivisible CA-43,25
Individual letters (2),25
District Council of Iron Workers of the State of California and Vicinity,25
Deputy Sheriffs Association of San Francisco,25
Burbank Chamber of Commerce,25
American Federation of,25
9 individuals,25
8 individuals,25
author,24
Yolo County District Attorney,24
Ventura County District Attorney's Office,24
United Domestic Workers,24
State Treasurer John Chiang,24
Office of Ratepayer Advocates (ORA),24
Nevada County,24
National Multiple Sclerosis Society - California Action Network,24
Lincoln Area Chamber of Commerce,24
Indivisible Santa Barbara,24
Indivisible Beach Cities,24
Indivisible 41,24
Floor,24
Disabilities,24
California Pan-Ethnic Health Network (CPEHN),24
Auto Club of Southern California (AAA),24
Attorney General Dan Lungren,24
Assoc,24
Assembly votes,24
Alliance,24
6 Individuals,24
Vietnam Veterans of American - California State Council,23
Various Individuals,23
VFW - Department of California,23
Udw/afscme Local 3930,23
The Climate Reality Project: Silicon Valley,23
Stockton Professional Firefighters,23
"Service Employees International Union, AFL-CIO, CLC",23
Program,23
Planned Parenthood Advocates Pasadena and San Gabriel Valley,23
National Council of Jewish Women - California,23
National Alliance on Mental Illness - California,23
"Monterey, County of",23
